"","Day","Treatment","Pairwise.compare","DEGs_total","DEGs_UP","DEGs_DOWN"
"36","21","full_interaction","AMM_AMA",0,0,1
"37","21","full_interaction","AMM_ASA",1,1,0
"38","21","full_interaction","AMM_ASM",1,0,1
"39","21","full_interaction","AMM_MAA",20,0,20
"40","21","full_interaction","AMM_MAM",2,0,2
"41","21","full_interaction","AMM_MMA",0,1,0
"42","21","full_interaction","AMM_MMM",26,1,25
"43","21","full_interaction","AMM_MSA",116,10,106
"44","21","full_interaction","AMM_MSM",1,1,0
"45","21","full_interaction","ASA_AAA",1,0,1
"46","21","full_interaction","ASA_AAM",3,0,3
"47","21","full_interaction","ASA_AMA",2,1,1
"48","21","full_interaction","ASA_AMM",1,0,1
"49","21","full_interaction","ASA_ASM",1,0,1
"50","21","full_interaction","ASA_MAA",7,1,6
"51","21","full_interaction","ASA_MAM",2,0,2
"52","21","full_interaction","ASA_MMA",2,0,2
"53","21","full_interaction","ASA_MMM",15,2,13
"54","21","full_interaction","ASA_MSA",42,6,36
"55","21","full_interaction","ASA_MSM",1,0,1
"56","21","full_interaction","ASM_AAA",0,1,0
"57","21","full_interaction","ASM_AAM",0,0,1
"58","21","full_interaction","ASM_AMA",0,1,0
"59","21","full_interaction","ASM_AMM",1,1,0
"60","21","full_interaction","ASM_ASA",1,1,0
"61","21","full_interaction","ASM_MAA",0,1,0
"62","21","full_interaction","ASM_MAM",5,2,3
"63","21","full_interaction","ASM_MMA",0,1,0
"64","21","full_interaction","ASM_MMM",23,10,13
"65","21","full_interaction","ASM_MSA",60,10,50
"66","21","full_interaction","ASM_MSM",0,1,0
"73","21","full_interaction","MAA_MAM",26,20,6
"74","21","full_interaction","MAA_MMA",31,28,3
"75","21","full_interaction","MAA_MMM",78,53,25
"76","21","full_interaction","MAA_MSA",187,76,111
"77","21","full_interaction","MAA_MSM",26,24,2
"85","21","full_interaction","MAM_MMA",0,1,0
"86","21","full_interaction","MAM_MMM",0,0,1
"87","21","full_interaction","MAM_MSA",1,0,1
"88","21","full_interaction","MAM_MSM",2,2,0
"97","21","full_interaction","MMA_MMM",0,0,1
"98","21","full_interaction","MMA_MSA",0,0,1
"99","21","full_interaction","MMA_MSM",0,0,1
"106","21","full_interaction","MMM_MAA",78,25,53
"107","21","full_interaction","MMM_MAM",0,1,0
"108","21","full_interaction","MMM_MMA",0,1,0
"109","21","full_interaction","MMM_MSA",3,1,2
"110","21","full_interaction","MMM_MSM",0,1,0
"119","21","full_interaction","MSA_MMA",0,1,0
"120","21","full_interaction","MSA_MMM",3,2,1
"121","21","full_interaction","MSA_MSM",0,0,1
"130","21","full_interaction","MSM_MMA",0,1,0
"131","21","full_interaction","MSM_MMM",0,0,1
"132","21","full_interaction","MSM_MSA",0,1,0
