"","category","numDEInCat","numInCat","term","ontology","DE_dir","perc.occurance"
"107","GO:0005802",1,131,"trans-Golgi network","CC","upregulated",0.763358778625954
"108","GO:0009617",1,142,"response to bacterium","BP","upregulated",0.704225352112676
"109","GO:0007420",1,152,"brain development","BP","upregulated",0.657894736842105
"110","GO:0000790",1,161,"nuclear chromatin","CC","upregulated",0.62111801242236
"111","GO:0006508",1,173,"proteolysis","BP","upregulated",0.578034682080925
"112","GO:0010629",1,178,"negative regulation of gene expression","BP","upregulated",0.561797752808989
"113","GO:0016020",2,1074,"membrane","CC","upregulated",0.186219739292365
"114","GO:0000978",1,221,"RNA polymerase II cis-regulatory region sequence-specific DNA binding","MF","upregulated",0.452488687782805
"115","GO:0044877",1,237,"protein-containing complex binding","MF","upregulated",0.421940928270042
"116","GO:0005764",1,274,"lysosome","CC","upregulated",0.364963503649635
"117","GO:0005886",3,2639,"plasma membrane","CC","upregulated",0.113679424024252
"118","GO:0016324",1,310,"apical plasma membrane","CC","upregulated",0.32258064516129
"119","GO:0043005",1,348,"neuron projection","CC","upregulated",0.28735632183908
"120","GO:0016021",3,3010,"integral component of membrane","CC","upregulated",0.0996677740863787
"121","GO:0005783",1,615,"endoplasmic reticulum","CC","upregulated",0.16260162601626
"122","GO:0008270",1,731,"zinc ion binding","MF","upregulated",0.136798905608755
"123","GO:0042802",1,762,"identical protein binding","MF","upregulated",0.131233595800525
"124","GO:0005509",1,868,"calcium ion binding","MF","upregulated",0.115207373271889
"125","GO:0005887",1,1090,"integral component of plasma membrane","CC","upregulated",0.0917431192660551
"126","GO:0005576",1,1105,"extracellular region","CC","upregulated",0.0904977375565611
"127","GO:0005737",2,3388,"cytoplasm","CC","upregulated",0.0590318772136954
"128","GO:0005634",1,3216,"nucleus","CC","upregulated",0.0310945273631841
"129","GO:0006824",1,5,"cobalt ion transport","BP","downregulated",20
"130","GO:0015889",1,13,"cobalamin transport","BP","downregulated",7.69230769230769
"131","GO:0031419",1,20,"cobalamin binding","MF","downregulated",5
"132","GO:0031092",1,25,"platelet alpha granule membrane","CC","downregulated",4
"133","GO:0072675",1,27,"osteoclast fusion","BP","downregulated",3.7037037037037
"134","GO:0061045",1,30,"negative regulation of wound healing","BP","downregulated",3.33333333333333
"135","GO:0045616",1,31,"regulation of keratinocyte differentiation","BP","downregulated",3.2258064516129
"136","GO:0050431",1,39,"transforming growth factor beta binding","MF","downregulated",2.56410256410256
"137","GO:0001942",1,47,"hair follicle development","BP","downregulated",2.12765957446809
"138","GO:0002576",1,47,"platelet degranulation","BP","downregulated",2.12765957446809
"139","GO:0010839",1,49,"negative regulation of keratinocyte proliferation","BP","downregulated",2.04081632653061
"140","GO:0030512",1,65,"negative regulation of transforming growth factor beta receptor signaling pathway","BP","downregulated",1.53846153846154
"141","GO:0004867",1,72,"serine-type endopeptidase inhibitor activity","MF","downregulated",1.38888888888889
"142","GO:0001933",1,73,"negative regulation of protein phosphorylation","BP","downregulated",1.36986301369863
"143","GO:0005576",2,1105,"extracellular region","CC","downregulated",0.180995475113122
"144","GO:0031225",1,120,"anchored component of membrane","CC","downregulated",0.833333333333333
"145","GO:0009986",1,484,"cell surface","CC","downregulated",0.206611570247934
"146","GO:0005615",1,796,"extracellular space","CC","downregulated",0.125628140703518
"147","GO:0005829",1,2336,"cytosol","CC","downregulated",0.0428082191780822
"148","GO:0005886",1,2639,"plasma membrane","CC","downregulated",0.0378931413414172
