"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","Day_effect","Dir"
"61","GO:0006661",0.0481239111159929,0.998899736034279,1,22,"phosphatidylinositol biosynthetic process","BP","Day7_Primary_AvM","Downregulated"
"62","GO:0050431",0.00286714556337117,0.999931326665658,2,39,"transforming growth factor beta binding","MF","Day7_Primary_AvM","Downregulated"
"63","GO:0004867",0.00889169365139516,0.999611924707941,2,72,"serine-type endopeptidase inhibitor activity","MF","Day7_Primary_AvM","Downregulated"
"64","GO:0004727",0.00198764234565471,1,1,1,"prenylated protein tyrosine phosphatase activity","MF","Day7_Primary_AvM","Downregulated"
"65","GO:0004360",0.00247979998819348,1,1,1,"glutamine-fructose-6-phosphate transaminase (isomerizing) activity","MF","Day7_Primary_AvM","Downregulated"
"66","GO:0008775",0.00398146206621617,0.999996115348099,1,2,"acetate CoA-transferase activity","MF","Day7_Primary_AvM","Downregulated"
"67","GO:0030368",0.00511979822050761,0.99999143281247,1,3,"interleukin-17 receptor activity","MF","Day7_Primary_AvM","Downregulated"
"68","GO:0004445",0.00672971601558636,0.999985186934879,1,3,"inositol-polyphosphate 5-phosphatase activity","MF","Day7_Primary_AvM","Downregulated"
"69","GO:0071837",0.00776667623506557,0.999976321457108,1,5,"HMG box domain binding","MF","Day7_Primary_AvM","Downregulated"
"70","GO:0097367",0.00789689270268386,0.999977046433613,1,4,"carbohydrate derivative binding","MF","Day7_Primary_AvM","Downregulated"
"71","GO:0003986",0.0101253032727142,0.999958043372939,1,6,"acetyl-CoA hydrolase activity","MF","Day7_Primary_AvM","Downregulated"
"72","GO:0000340",0.0132539625818151,0.999928018597105,1,6,"RNA 7-methylguanosine cap binding","MF","Day7_Primary_AvM","Downregulated"
"73","GO:0004708",0.020265442802775,0.999820060714216,1,9,"MAP kinase kinase activity","MF","Day7_Primary_AvM","Downregulated"
"74","GO:0016597",0.0270833978800546,0.999663514605913,1,14,"amino acid binding","MF","Day7_Primary_AvM","Downregulated"
"75","GO:0008138",0.0342241322545288,0.999447599867295,1,21,"protein tyrosine/serine/threonine phosphatase activity","MF","Day7_Primary_AvM","Downregulated"
"76","GO:0042169",0.0365143142870458,0.999373942086565,1,19,"SH2 domain binding","MF","Day7_Primary_AvM","Downregulated"
"77","GO:0031419",0.0388090548083668,0.999290241862522,1,20,"cobalamin binding","MF","Day7_Primary_AvM","Downregulated"
"78","GO:0005547",0.0431295088079483,0.999119853101885,1,21,"phosphatidylinositol-3,4,5-trisphosphate binding","MF","Day7_Primary_AvM","Downregulated"
"79","GO:0042493",0.000383394232223301,0.999976280455096,4,152,"response to drug","BP","Day7_Primary_AvM","Upregulated"
"80","GO:0043434",7.74978505018272e-05,0.999998607038004,3,36,"response to peptide hormone","BP","Day7_Primary_AvM","Upregulated"
"81","GO:0051385",2.19109214683084e-05,0.999999980689859,2,3,"response to mineralocorticoid","BP","Day7_Primary_AvM","Upregulated"
"82","GO:1902307",3.9577394668602e-05,0.999999933670403,2,4,"positive regulation of sodium ion transmembrane transport","BP","Day7_Primary_AvM","Upregulated"
"83","GO:0070633",0.000506189369195254,0.999995344525379,2,13,"transepithelial transport","BP","Day7_Primary_AvM","Upregulated"
"84","GO:0071638",0.000789106880518103,0.999990275740094,2,27,"negative regulation of monocyte chemotactic protein-1 production","BP","Day7_Primary_AvM","Upregulated"
"85","GO:1901998",0.000956233380663834,0.999987344908192,2,19,"toxin transport","BP","Day7_Primary_AvM","Upregulated"
"86","GO:0010765",0.00106857170136221,0.999984913667987,2,21,"positive regulation of sodium ion transport","BP","Day7_Primary_AvM","Upregulated"
"87","GO:0048678",0.00354457061019584,0.999904465521907,2,40,"response to axon injury","BP","Day7_Primary_AvM","Upregulated"
"88","GO:0050714",0.00412374658258501,0.999880143718068,2,38,"positive regulation of protein secretion","BP","Day7_Primary_AvM","Upregulated"
"89","GO:0051592",0.00565339443418733,0.999805399059649,2,46,"response to calcium ion","BP","Day7_Primary_AvM","Upregulated"
"90","GO:0006954",0.0249766218828526,0.998094672430213,2,116,"inflammatory response","BP","Day7_Primary_AvM","Upregulated"
"91","GO:0009617",0.0478251210636093,0.994809043645763,2,142,"response to bacterium","BP","Day7_Primary_AvM","Upregulated"
"92","GO:0035811",0.00269883195326062,1,1,1,"negative regulation of urine volume","BP","Day7_Primary_AvM","Upregulated"
"93","GO:0036359",0.00269883195326062,1,1,1,"renal potassium excretion","BP","Day7_Primary_AvM","Upregulated"
"94","GO:0010157",0.00270578925827553,1,1,1,"response to chlorate","BP","Day7_Primary_AvM","Upregulated"
"95","GO:0010640",0.00311848335578512,0.999997604250099,1,2,"regulation of platelet-derived growth factor receptor signaling pathway","BP","Day7_Primary_AvM","Upregulated"
"96","GO:0006728",0.00336982272602989,0.999997202150679,1,2,"pteridine biosynthetic process","BP","Day7_Primary_AvM","Upregulated"
"97","GO:0016071",0.00347426474122778,0.999997025875568,1,2,"mRNA metabolic process","BP","Day7_Primary_AvM","Upregulated"
"98","GO:0051045",0.00487646835956975,0.999992184200492,1,3,"negative regulation of membrane protein ectodomain proteolysis","BP","Day7_Primary_AvM","Upregulated"
"99","GO:0010944",0.00627578772537129,0.999987046872271,1,3,"negative regulation of transcription by competitive promoter binding","BP","Day7_Primary_AvM","Upregulated"
"100","GO:2000010",0.00662660661619646,0.99998375346654,1,4,"positive regulation of protein localization to cell surface","BP","Day7_Primary_AvM","Upregulated"
"101","GO:0090240",0.00673962251455099,0.999985058276101,1,3,"positive regulation of histone H4 acetylation","BP","Day7_Primary_AvM","Upregulated"
"102","GO:0014810",0.00754879229881583,0.999981248153206,1,3,"positive regulation of skeletal muscle contraction by regulation of release of sequestered calcium ion","BP","Day7_Primary_AvM","Upregulated"
"103","GO:0033629",0.00833666514406514,0.999972556067548,1,5,"negative regulation of cell adhesion mediated by integrin","BP","Day7_Primary_AvM","Upregulated"
"104","GO:0006726",0.00851876497377574,0.99997312914972,1,4,"eye pigment biosynthetic process","BP","Day7_Primary_AvM","Upregulated"
"105","GO:0050848",0.00893859517251223,0.999970410041783,1,4,"regulation of calcium-mediated signaling","BP","Day7_Primary_AvM","Upregulated"
"106","GO:0043618",0.00901165460360724,0.999969923422817,1,4,"regulation of transcription from RNA polymerase II promoter in response to stress","BP","Day7_Primary_AvM","Upregulated"
"107","GO:1901687",0.0101689707182671,0.999961683344724,1,4,"glutathione derivative biosynthetic process","BP","Day7_Primary_AvM","Upregulated"
"108","GO:1904659",0.0103757559821342,0.999957453538118,1,5,"glucose transmembrane transport","BP","Day7_Primary_AvM","Upregulated"
"109","GO:0060742",0.0104003641539064,0.9999599157695,1,4,"epithelial cell differentiation involved in prostate gland development","BP","Day7_Primary_AvM","Upregulated"
"110","GO:0060588",0.0121661653239529,0.999937293818879,1,7,"negative regulation of lipoprotein lipid oxidation","BP","Day7_Primary_AvM","Upregulated"
"111","GO:2000098",0.0121661653239529,0.999937293818879,1,7,"negative regulation of smooth muscle cell-matrix adhesion","BP","Day7_Primary_AvM","Upregulated"
"112","GO:0043278",0.012230057827705,0.999938386002255,1,6,"response to morphine","BP","Day7_Primary_AvM","Upregulated"
"113","GO:0036003",0.012232350802054,0.999940820109271,1,5,"positive regulation of transcription from RNA polymerase II promoter in response to stress","BP","Day7_Primary_AvM","Upregulated"
"114","GO:0042178",0.0148276006967483,0.999909340324028,1,6,"xenobiotic catabolic process","BP","Day7_Primary_AvM","Upregulated"
"115","GO:2000405",0.0150168820692042,0.999902374917627,1,8,"negative regulation of T cell migration","BP","Day7_Primary_AvM","Upregulated"
"116","GO:0030858",0.015319797940085,0.999903202567056,1,6,"positive regulation of epithelial cell differentiation","BP","Day7_Primary_AvM","Upregulated"
"117","GO:0060736",0.0157294940485414,0.999897939344534,1,6,"prostate gland growth","BP","Day7_Primary_AvM","Upregulated"
"118","GO:1902166",0.0163130986123334,0.999887077634463,1,7,"negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator","BP","Day7_Primary_AvM","Upregulated"
"119","GO:0006978",0.0163966751145014,0.999885913872393,1,7,"DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator","BP","Day7_Primary_AvM","Upregulated"
"120","GO:0043056",0.0165848243607436,0.99988649916349,1,6,"forward locomotion","BP","Day7_Primary_AvM","Upregulated"
"121","GO:0055002",0.0165848243607436,0.99988649916349,1,6,"striated muscle cell development","BP","Day7_Primary_AvM","Upregulated"
"122","GO:0060419",0.0165848243607436,0.99988649916349,1,6,"heart growth","BP","Day7_Primary_AvM","Upregulated"
"123","GO:1901897",0.0165848243607436,0.99988649916349,1,6,"regulation of relaxation of cardiac muscle","BP","Day7_Primary_AvM","Upregulated"
"124","GO:2001222",0.01703880132391,0.999874218056066,1,8,"regulation of neuron migration","BP","Day7_Primary_AvM","Upregulated"
"125","GO:0010035",0.0172211640801522,0.999874111369253,1,7,"response to inorganic substance","BP","Day7_Primary_AvM","Upregulated"
"126","GO:0014012",0.0174477680097085,0.999866003954299,1,9,"peripheral nervous system axon regeneration","BP","Day7_Primary_AvM","Upregulated"
"127","GO:0060316",0.0182957346850702,0.999854905646915,1,8,"positive regulation of ryanodine-sensitive calcium-release channel activity","BP","Day7_Primary_AvM","Upregulated"
"128","GO:2000312",0.019162119989073,0.999838272781375,1,9,"regulation of kainate selective glutamate receptor activity","BP","Day7_Primary_AvM","Upregulated"
"129","GO:0009056",0.0200367058559528,0.999823113961499,1,9,"catabolic process","BP","Day7_Primary_AvM","Upregulated"
"130","GO:0060384",0.0215033599070604,0.999796156552584,1,9,"innervation","BP","Day7_Primary_AvM","Upregulated"
"131","GO:0035722",0.0217116101322083,0.999792172638767,1,9,"interleukin-12-mediated signaling pathway","BP","Day7_Primary_AvM","Upregulated"
"132","GO:0048681",0.0219835935999556,0.999786910933393,1,9,"negative regulation of axon regeneration","BP","Day7_Primary_AvM","Upregulated"
"133","GO:0060315",0.0220346513346903,0.999783257886212,1,10,"negative regulation of ryanodine-sensitive calcium-release channel activity","BP","Day7_Primary_AvM","Upregulated"
"134","GO:0043043",0.0224374577896711,0.999777982899856,1,9,"peptide biosynthetic process","BP","Day7_Primary_AvM","Upregulated"
"135","GO:0032781",0.0226135021685208,0.999771670662518,1,10,"positive regulation of ATPase activity","BP","Day7_Primary_AvM","Upregulated"
"136","GO:0000302",0.0226837996878406,0.999766018244948,1,12,"response to reactive oxygen species","BP","Day7_Primary_AvM","Upregulated"
"137","GO:0010642",0.0227489265436167,0.999766598188261,1,11,"negative regulation of platelet-derived growth factor receptor signaling pathway","BP","Day7_Primary_AvM","Upregulated"
"138","GO:0010880",0.0230366282001288,0.999763008130971,1,10,"regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum","BP","Day7_Primary_AvM","Upregulated"
"139","GO:0070555",0.0240848440539142,0.999744023292721,1,9,"response to interleukin-1","BP","Day7_Primary_AvM","Upregulated"
"140","GO:0071243",0.0242655411883837,0.999736926125956,1,10,"cellular response to arsenic-containing substance","BP","Day7_Primary_AvM","Upregulated"
"141","GO:0044245",0.0254868357032079,0.999709644102397,1,10,"polysaccharide digestion","BP","Day7_Primary_AvM","Upregulated"
"142","GO:0021983",0.0256845100917069,0.999702145600806,1,11,"pituitary gland development","BP","Day7_Primary_AvM","Upregulated"
"143","GO:0070165",0.0260425825796253,0.999680955433308,1,19,"positive regulation of adiponectin secretion","BP","Day7_Primary_AvM","Upregulated"
"144","GO:0070206",0.028657501955316,0.999612237361951,1,20,"protein trimerization","BP","Day7_Primary_AvM","Upregulated"
"145","GO:0032331",0.0290584858832267,0.999618267441312,1,11,"negative regulation of chondrocyte differentiation","BP","Day7_Primary_AvM","Upregulated"
"146","GO:0030240",0.029218906977348,0.999614017654552,1,11,"skeletal muscle thin filament assembly","BP","Day7_Primary_AvM","Upregulated"
"147","GO:0048769",0.029218906977348,0.999614017654552,1,11,"sarcomerogenesis","BP","Day7_Primary_AvM","Upregulated"
"148","GO:0001824",0.0295628761892869,0.999601562718027,1,12,"blastocyst development","BP","Day7_Primary_AvM","Upregulated"
"149","GO:0001833",0.0297197011572636,0.99959730059742,1,12,"inner cell mass cell proliferation","BP","Day7_Primary_AvM","Upregulated"
"150","GO:0003300",0.0315433912564801,0.999546052399589,1,12,"cardiac muscle hypertrophy","BP","Day7_Primary_AvM","Upregulated"
"151","GO:0048739",0.0318323598015019,0.999537646978036,1,12,"cardiac muscle fiber development","BP","Day7_Primary_AvM","Upregulated"
"152","GO:1900016",0.0319339074726562,0.99952630078632,1,15,"negative regulation of cytokine production involved in inflammatory response","BP","Day7_Primary_AvM","Upregulated"
"153","GO:0010881",0.0322964001039585,0.99951542062629,1,15,"regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion","BP","Day7_Primary_AvM","Upregulated"
"154","GO:0042308",0.0330004920024747,0.999491694860543,1,16,"negative regulation of protein import into nucleus","BP","Day7_Primary_AvM","Upregulated"
"155","GO:0030241",0.0347316629123767,0.999445178596363,1,13,"skeletal muscle myosin thick filament assembly","BP","Day7_Primary_AvM","Upregulated"
"156","GO:0035995",0.036616895055373,0.999373349097708,1,16,"detection of muscle stretch","BP","Day7_Primary_AvM","Upregulated"
"157","GO:0071773",0.0371428553981009,0.999355092333761,1,16,"cellular response to BMP stimulus","BP","Day7_Primary_AvM","Upregulated"
"158","GO:0055003",0.0372287436802979,0.999358182989793,1,14,"cardiac myofibril assembly","BP","Day7_Primary_AvM","Upregulated"
"159","GO:0071688",0.0373029341991163,0.999355604574852,1,14,"striated muscle myosin thick filament assembly","BP","Day7_Primary_AvM","Upregulated"
"160","GO:0035356",0.0375990337367852,0.99932453675228,1,24,"cellular triglyceride homeostasis","BP","Day7_Primary_AvM","Upregulated"
"161","GO:0060395",0.0376446948594275,0.999334858401449,1,17,"SMAD protein signal transduction","BP","Day7_Primary_AvM","Upregulated"
"162","GO:0006977",0.0408094708263825,0.999214727601135,1,18,"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest","BP","Day7_Primary_AvM","Upregulated"
"163","GO:0007512",0.0412309983862516,0.999195848493219,1,19,"adult heart development","BP","Day7_Primary_AvM","Upregulated"
"164","GO:0006665",0.0444686325846768,0.99906633490146,1,18,"sphingolipid metabolic process","BP","Day7_Primary_AvM","Upregulated"
"165","GO:0070542",0.0461022809208327,0.998987559457003,1,21,"response to fatty acid","BP","Day7_Primary_AvM","Upregulated"
"166","GO:0051895",0.046317855384179,0.99897798825465,1,21,"negative regulation of focal adhesion assembly","BP","Day7_Primary_AvM","Upregulated"
"167","GO:0002223",0.0465158759357288,0.998971693825537,1,20,"stimulatory C-type lectin receptor signaling pathway","BP","Day7_Primary_AvM","Upregulated"
"168","GO:0043152",0.0470978711379577,0.998945575613783,1,20,"induction of bacterial agglutination","BP","Day7_Primary_AvM","Upregulated"
"169","GO:0009308",0.0472500596448981,0.99892298263017,1,28,"amine metabolic process","BP","Day7_Primary_AvM","Upregulated"
"170","GO:0055008",0.0477857946252398,0.99891723429674,1,19,"cardiac muscle tissue morphogenesis","BP","Day7_Primary_AvM","Upregulated"
"171","GO:0060048",0.0495410908806859,0.998832292086785,1,20,"cardiac muscle contraction","BP","Day7_Primary_AvM","Upregulated"
"172","GO:0042802",0.031451539593968,0.991726209371678,5,762,"identical protein binding","MF","Day7_Primary_AvM","Upregulated"
"173","GO:0004252",0.000149623185884743,0.999992823164263,4,108,"serine-type endopeptidase activity","MF","Day7_Primary_AvM","Upregulated"
"174","GO:0005044",0.00131959783921995,0.999935127562622,3,85,"scavenger receptor activity","MF","Day7_Primary_AvM","Upregulated"
"175","GO:0004222",0.00409453519709903,0.999697646700974,3,131,"metalloendopeptidase activity","MF","Day7_Primary_AvM","Upregulated"
"176","GO:0045174",4.69091642027071e-05,0.999999900549457,2,5,"glutathione dehydrogenase (ascorbate) activity","MF","Day7_Primary_AvM","Upregulated"
"177","GO:0017080",0.000104260748279616,0.999999605685557,2,8,"sodium channel regulator activity","MF","Day7_Primary_AvM","Upregulated"
"178","GO:0004364",0.00224282719134521,0.999952612800195,2,32,"glutathione transferase activity","MF","Day7_Primary_AvM","Upregulated"
"179","GO:0004867",0.0139848687213481,0.99922057672549,2,72,"serine-type endopeptidase inhibitor activity","MF","Day7_Primary_AvM","Upregulated"
"180","GO:0031409",0.00268598340111662,1,1,1,"pigment binding","MF","Day7_Primary_AvM","Upregulated"
"181","GO:1990829",0.00273364127148738,1,1,1,"C-rich single-stranded DNA binding","MF","Day7_Primary_AvM","Upregulated"
"182","GO:0004734",0.00336982272602989,0.999997202150679,1,2,"pyrimidodiazepine synthase activity","MF","Day7_Primary_AvM","Upregulated"
"183","GO:0016782",0.00336982272602989,0.999997202150679,1,2,"transferase activity, transferring sulfur-containing groups","MF","Day7_Primary_AvM","Upregulated"
"184","GO:0004341",0.00665721678179128,0.999985421974038,1,3,"gluconolactonase activity","MF","Day7_Primary_AvM","Upregulated"
"185","GO:0004032",0.00733213221663848,0.999980103839223,1,4,"alditol:NADP+ 1-oxidoreductase activity","MF","Day7_Primary_AvM","Upregulated"
"186","GO:0050610",0.00754879229881583,0.999981248153206,1,3,"methylarsonate reductase activity","MF","Day7_Primary_AvM","Upregulated"
"187","GO:0047685",0.00794855475096706,0.999976611680888,1,4,"amine sulfotransferase activity","MF","Day7_Primary_AvM","Upregulated"
"188","GO:0016807",0.0107182034316707,0.999957422580583,1,4,"cysteine-type carboxypeptidase activity","MF","Day7_Primary_AvM","Upregulated"
"189","GO:0017171",0.0120977284666436,0.999942118736788,1,5,"serine hydrolase activity","MF","Day7_Primary_AvM","Upregulated"
"190","GO:0034338",0.0150627306695555,0.999903771892016,1,7,"short-chain carboxylesterase activity","MF","Day7_Primary_AvM","Upregulated"
"191","GO:0043559",0.0157565623638304,0.999897586669728,1,6,"insulin binding","MF","Day7_Primary_AvM","Upregulated"
"192","GO:0042301",0.0208303461485637,0.999811735266588,1,8,"phosphate ion binding","MF","Day7_Primary_AvM","Upregulated"
"193","GO:0000293",0.0216456211500076,0.999793439243013,1,9,"ferric-chelate reductase activity","MF","Day7_Primary_AvM","Upregulated"
"194","GO:0008843",0.0220048118217305,0.999786497663268,1,9,"endochitinase activity","MF","Day7_Primary_AvM","Upregulated"
"195","GO:0005412",0.0264934127755994,0.999686136753584,1,10,"glucose:sodium symporter activity","MF","Day7_Primary_AvM","Upregulated"
"196","GO:0030234",0.0297905398902899,0.999595367855586,1,12,"enzyme regulator activity","MF","Day7_Primary_AvM","Upregulated"
"197","GO:0030506",0.0299226446997053,0.99959509351669,1,11,"ankyrin binding","MF","Day7_Primary_AvM","Upregulated"
"198","GO:0035255",0.032096358810654,0.999523856933114,1,14,"ionotropic glutamate receptor binding","MF","Day7_Primary_AvM","Upregulated"
"199","GO:0031433",0.0341051440671478,0.999465139920251,1,13,"telethonin binding","MF","Day7_Primary_AvM","Upregulated"
"200","GO:0004090",0.0358021072010356,0.999390345997117,1,22,"carbonyl reductase (NADPH) activity","MF","Day7_Primary_AvM","Upregulated"
"201","GO:0038187",0.0375264498934613,0.999341609665523,1,16,"pattern recognition receptor activity","MF","Day7_Primary_AvM","Upregulated"
"202","GO:0070891",0.0379481181676561,0.999326625572983,1,16,"lipoteichoic acid binding","MF","Day7_Primary_AvM","Upregulated"
"203","GO:1990380",0.0392351435695386,0.999282993367972,1,15,"Lys48-specific deubiquitinase activity","MF","Day7_Primary_AvM","Upregulated"
"204","GO:1904399",0.0425389716982613,0.999149127978998,1,17,"heparan sulfate binding","MF","Day7_Primary_AvM","Upregulated"
"205","GO:0004568",0.0447285816902563,0.999055296646013,1,18,"chitinase activity","MF","Day7_Primary_AvM","Upregulated"
