biosample_accession	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file
SAMN19839096	SG56_juvenile_ModSevAmb_TagSeq	TagSeq of juvenile Panopea generosa pH ModSevAmb	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG56_S105_L001_R1_001.fastq.gz	SG56_S105_L002_R1_001.fastq.gz				
SAMN19839095	SG134_juvenile_AmbSevAmb_TagSeq	TagSeq of juvenile Panopea generosa pH AmbSevAmb	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG134_S147_L001_R1_001.fastq.gz	SG134_S147_L002_R1_001.fastq.gz				
SAMN19839094	SG74_juvenile_ModModAmb_TagSeq	TagSeq of juvenile Panopea generosa pH ModModAmb	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG74_S59_L001_R1_001.fastq.gz	SG74_S59_L002_R1_001.fastq.gz				
SAMN19839093	SG121_juvenile_ModModAmb_TagSeq	TagSeq of juvenile Panopea generosa pH ModModAmb	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG121_S142_L001_R1_001.fastq.gz	SG121_S142_L002_R1_001.fastq.gz				
SAMN19839092	SG31_juvenile_AmbModAmb_TagSeq	TagSeq of juvenile Panopea generosa pH AmbModAmb	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG31_S95_L001_R1_001.fastq.gz	SG31_S95_L002_R1_001.fastq.gz				
SAMN19839091	SG70_juvenile_AmbModAmb_TagSeq	TagSeq of juvenile Panopea generosa pH AmbModAmb	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG70_S121_L001_R1_001.fastq.gz	SG70_S121_L002_R1_001.fastq.gz				
SAMN19839090	SG136_juvenile_ModSevMod_TagSeq	TagSeq of juvenile Panopea generosa pH ModSevMod	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG136_S155_L001_R1_001.fastq.gz	SG136_S155_L002_R1_001.fastq.gz				
SAMN19839089	SG116_juvenile_ModSevMod_TagSeq	TagSeq of juvenile Panopea generosa pH ModSevMod	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG116_S169_L001_R1_001.fastq.gz	SG116_S169_L002_R1_001.fastq.gz				
SAMN19839088	SG49_juvenile_AmbSevMod_TagSeq	TagSeq of juvenile Panopea generosa pH AmbSevMod	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG49_S49_L001_R1_001.fastq.gz	SG49_S49_L002_R1_001.fastq.gz				
SAMN19839087	SG84_juvenile_AmbSevMod_TagSeq	TagSeq of juvenile Panopea generosa pH AmbSevMod	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG84_S138_L001_R1_001.fastq.gz	SG84_S138_L002_R1_001.fastq.gz				
SAMN19839086	SG35_juvenile_AmbSevMod_TagSeq	TagSeq of juvenile Panopea generosa pH AmbSevMod	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG35_S126_L001_R1_001.fastq.gz	SG35_S126_L002_R1_001.fastq.gz				
SAMN19839085	SG125_juvenile_ModSevMod_TagSeq	TagSeq of juvenile Panopea generosa pH ModSevMod	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG125_S158_L001_R1_001.fastq.gz	SG125_S158_L002_R1_001.fastq.gz				
SAMN19839084	SG83_juvenile_AmbAmbMod_TagSeq	TagSeq of juvenile Panopea generosa pH AmbAmbMod	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG83_S130_L001_R1_001.fastq.gz	SG83_S130_L002_R1_001.fastq.gz				
SAMN19839083	SG51_juvenile_ModAmbMod_TagSeq	TagSeq of juvenile Panopea generosa pH ModAmbMod	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG51_S65_L001_R1_001.fastq.gz	SG51_S65_L002_R1_001.fastq.gz				
SAMN19839082	SG30_juvenile_AmbAmbMod_TagSeq	TagSeq of juvenile Panopea generosa pH AmbAmbMod	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG30_S87_L001_R1_001.fastq.gz	SG30_S87_L002_R1_001.fastq.gz				
SAMN19839081	SG113_juvenile_ModAmbMod_TagSeq	TagSeq of juvenile Panopea generosa pH ModAmbMod	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG113_S157_L001_R1_001.fastq.gz	SG113_S157_L002_R1_001.fastq.gz				
SAMN19839080	SG96_juvenile_AmbSevMod_TagSeq	TagSeq of juvenile Panopea generosa pH AmbSevMod	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG96_S139_L001_R1_001.fastq.gz	SG96_S139_L002_R1_001.fastq.gz				
SAMN19839079	SG142_juvenile_ModSevMod_TagSeq	TagSeq of juvenile Panopea generosa pH ModSevMod	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG142_S179_L001_R1_001.fastq.gz	SG142_S179_L002_R1_001.fastq.gz				
SAMN19839078	SG111_juvenile_AmbModMod_TagSeq	TagSeq of juvenile Panopea generosa pH AmbModMod	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG111_S149_L001_R1_001.fastq.gz	SG111_S149_L002_R1_001.fastq.gz				
SAMN19839077	SG120_juvenile_AmbModMod_TagSeq	TagSeq of juvenile Panopea generosa pH AmbModMod	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG120_S184_L001_R1_001.fastq.gz	SG120_S184_L002_R1_001.fastq.gz				
SAMN19839076	SG33_juvenile_AmbModMod_TagSeq	TagSeq of juvenile Panopea generosa pH AmbModMod	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG33_S110_L001_R1_001.fastq.gz	SG33_S110_L002_R1_001.fastq.gz				
SAMN19839075	SG122_juvenile_ModModMod_TagSeq	TagSeq of juvenile Panopea generosa pH ModModMod	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG122_S146_L001_R1_001.fastq.gz	SG122_S146_L002_R1_001.fastq.gz				
SAMN19839074	SG115_juvenile_ModModMod_TagSeq	TagSeq of juvenile Panopea generosa pH ModModMod	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG115_S165_L001_R1_001.fastq.gz	SG115_S165_L002_R1_001.fastq.gz				
SAMN19839073	SG123_juvenile_ModModMod_TagSeq	TagSeq of juvenile Panopea generosa pH ModModMod	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG123_S150_L001_R1_001.fastq.gz	SG123_S150_L002_R1_001.fastq.gz				
SAMN19839072	SG52_juvenile_ModAmbMod_TagSeq	TagSeq of juvenile Panopea generosa pH ModAmbMod	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG52_S73_L001_R1_001.fastq.gz	SG52_S73_L002_R1_001.fastq.gz				
SAMN19839071	SG133_juvenile_AmbAmbMod_TagSeq	TagSeq of juvenile Panopea generosa pH AmbAmbMod	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG133_S143_L001_R1_001.fastq.gz	SG133_S143_L002_R1_001.fastq.gz				
SAMN19839070	SG112_juvenile_ModAmbAmb_TagSeq	TagSeq of juvenile Panopea generosa pH ModAmbAmb	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG112_S153_L001_R1_001.fastq.gz	SG112_S153_L002_R1_001.fastq.gz				
SAMN19839069	SG68_juvenile_AmbAmbMod_TagSeq	TagSeq of juvenile Panopea generosa pH AmbAmbMod	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG68_S106_L001_R1_001.fastq.gz	SG68_S106_L002_R1_001.fastq.gz				
SAMN19839068	SG126_juvenile_ModSevMod_TagSeq	TagSeq of juvenile Panopea generosa pH ModSevMod	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG126_S162_L001_R1_001.fastq.gz	SG126_S162_L002_R1_001.fastq.gz				
SAMN19839067	SG34_juvenile_AmbModMod_TagSeq	TagSeq of juvenile Panopea generosa pH AmbModMod	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG34_S118_L001_R1_001.fastq.gz	SG34_S118_L002_R1_001.fastq.gz				
SAMN19839066	SG47_juvenile_AmbModMod_TagSeq	TagSeq of juvenile Panopea generosa pH AmbModMod	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG47_S127_L001_R1_001.fastq.gz	SG47_S127_L002_R1_001.fastq.gz				
SAMN19839065	SG73_juvenile_ModAmbMod_TagSeq	TagSeq of juvenile Panopea generosa pH ModAmbMod	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG73_S51_L001_R1_001.fastq.gz	SG73_S51_L002_R1_001.fastq.gz				
SAMN19839064	SG54_juvenile_ModModMod_TagSeq	TagSeq of juvenile Panopea generosa pH ModModMod	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG54_S89_L001_R1_001.fastq.gz	SG54_S89_L002_R1_001.fastq.gz				
SAMN19839063	SG75_juvenile_ModModMod_TagSeq	TagSeq of juvenile Panopea generosa pH ModModMod	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG75_S67_L001_R1_001.fastq.gz	SG75_S67_L002_R1_001.fastq.gz				
SAMN19839062	SG132_juvenile_AmbAmbMod_TagSeq	TagSeq of juvenile Panopea generosa pH AmbAmbMod	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG132_S185_L001_R1_001.fastq.gz	SG132_S185_L002_R1_001.fastq.gz				
SAMN19839061	SG85_juvenile_ModAmbMod_TagSeq	TagSeq of juvenile Panopea generosa pH ModAmbMod	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG85_S52_L001_R1_001.fastq.gz	SG85_S52_L002_R1_001.fastq.gz				
SAMN19839060	SG86_juvenile_ModSevMod_TagSeq	TagSeq of juvenile Panopea generosa pH ModSevMod	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG86_S60_L001_R1_001.fastq.gz	SG86_S60_L002_R1_001.fastq.gz				
SAMN19839059	SG119_juvenile_AmbAmbMod_TagSeq	TagSeq of juvenile Panopea generosa pH AmbAmbMod	RNA-Seq	TRANSCRIPTOMIC	PCR	single	ILLUMINA	Illumina NovaSeq 6000	"Libraries were prepared by The Univeristy of Texas at Austin 
Genomic Sequencing and Analysis Facility using the a 3' RNA based library prep for TagSeq"	fastq	SG119_S181_L001_R1_001.fastq.gz	SG119_S181_L002_R1_001.fastq.gz				
