Date,Tank.ID,Geoduck_ID,ALL_Treatment,EvA_Treatment,Day0_Treament,Day7_Treament,Day14,Day21_Treatment,Day,Number.animals,Box.position,Storage.Box.ID,Extracted_(X_done),Date_extraction,Qubit_RNA_Quantity,RNA_Quality_TapeStation,Qubit_DNA_Quantity,DNA_Quality_Gel,,Link to Extraction Notebook
20190807,14,771,AHS,A,NA,NA,S,NA,DAY14,1,D4,Sam Gurr 2019 Thresholds Geoduck BOX #10,X,20200817,12.7,"Low, no RINe",8.78,Low,"RNA is low, but ok to sequence, DNA not visible",https://samgurr.github.io/SamJGurr_Lab_Notebook/20200817-20200818-Juvenile-Panopea-generosa-DNA-RNA-extractions/
20190807,21,797,AHS,A,NA,NA,S,NA,DAY14,1,A1,Sam Gurr 2019 Thresholds Geoduck BOX #16,X,20200818,268.8,Yes,22.6,loading error,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200817-20200818-Juvenile-Panopea-generosa-DNA-RNA-extractions/
20190807,16,777,AHS,A,NA,NA,S,NA,DAY14,1,I1,Sam Gurr 2019 Thresholds Geoduck BOX #19,X,20200818,59.7,Yes,37.3,loading error,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200817-20200818-Juvenile-Panopea-generosa-DNA-RNA-extractions/
20190807,15,774,AHS,A,NA,NA,S,NA,DAY14,1,F5,Sam Gurr 2019 Thresholds Geoduck BOX #20,X,20200902,30.4,Yes,21.9,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200903-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190807,24,809,AHS,A,NA,NA,S,NA,DAY14,1,B8,Sam Gurr 2019 Thresholds Geoduck BOX #19,X,20200908,99.8,Yes,23.8,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200909-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190807,19,789,AHS,A,NA,NA,S,NA,DAY14,1,I1,Sam Gurr 2019 Thresholds Geoduck BOX #7,X,20200909,73.8,Yes,32.6,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200909-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190807,27,822,EHA,E,NA,NA,A,NA,DAY14,1,A7,Sam Gurr 2019 Thresholds Geoduck BOX #17,X,20200817,192,Yes,69.2,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200817-20200818-Juvenile-Panopea-generosa-DNA-RNA-extractions/
20190807,28,825,EHA,E,NA,NA,A,NA,DAY14,1,G8,Sam Gurr 2019 Thresholds Geoduck BOX #17,X,20200818,14.3,Yes,13.7,loading error,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200817-20200818-Juvenile-Panopea-generosa-DNA-RNA-extractions/
20190807,29,829,EHA,E,NA,NA,A,NA,DAY14,1,B3,Sam Gurr 2019 Thresholds Geoduck BOX #19,X,20200818,234,Yes,68.2,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200817-20200818-Juvenile-Panopea-generosa-DNA-RNA-extractions/
20190807,35,853,EHA,E,NA,NA,A,NA,DAY14,1,H3,Sam Gurr 2019 Thresholds Geoduck BOX #19,X,20200908,78.4,Yes,50.4,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200909-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190807,31,837,EHA,E,NA,NA,A,NA,DAY14,1,H1,Sam Gurr 2019 Thresholds Geoduck BOX #7,X,20200909,151.5,Yes,83.4,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200909-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190807,32,841,EHA,E,NA,NA,A,NA,DAY14,1,F8,Sam Gurr 2019 Thresholds Geoduck BOX #19,X,20200916,148,Yes,59.6,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200917-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190807,9,750,EHM,E,NA,NA,M,NA,DAY14,1,A3,Sam Gurr 2019 Thresholds Geoduck BOX #10,X,20200817,28.3,Yes,16,Low,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200817-20200818-Juvenile-Panopea-generosa-DNA-RNA-extractions/
20190807,1,717,EHM,E,NA,NA,M,NA,DAY14,1,I8,Sam Gurr 2019 Thresholds Geoduck BOX #16,X,20200818,176.5,Yes,92.6,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200817-20200818-Juvenile-Panopea-generosa-DNA-RNA-extractions/
20190807,8,746,EHM,E,NA,NA,M,NA,DAY14,1,A6,Sam Gurr 2019 Thresholds Geoduck BOX #16,X,20200908,95.7,Yes,46.4,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200909-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190807,2,722,EHM,E,NA,NA,M,NA,DAY14,1,H8,Sam Gurr 2019 Thresholds Geoduck BOX #17,X,20200909,35.9,Yes,32.5,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200909-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190807,3,726,EHM,E,NA,NA,M,NA,DAY14,1,A9,Sam Gurr 2019 Thresholds Geoduck BOX #16,X,20200910,136.5,Yes,48.5,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200910-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190807,7,741,EHM,E,NA,NA,M,NA,DAY14,1,C3,Sam Gurr 2019 Thresholds Geoduck BOX #16,X,20200917,100.4,Yes,63.1,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200917-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190807,18,785,EHS,E,NA,NA,S,NA,DAY14,1,I8,Sam Gurr 2019 Thresholds Geoduck BOX #10,X,20200817,23.3,Yes,6.75,Low,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200817-20200818-Juvenile-Panopea-generosa-DNA-RNA-extractions/
20190807,22,801,EHS,E,NA,NA,S,NA,DAY14,1,E1,Sam Gurr 2019 Thresholds Geoduck BOX #10,X,20200818,109.5,Yes,98.2,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200817-20200818-Juvenile-Panopea-generosa-DNA-RNA-extractions/
20190807,17,783,EHS,E,NA,NA,S,NA,DAY14,1,I1,Sam Gurr 2019 Thresholds Geoduck BOX #16,X,20200825,10.6,Yes,9.99,Low,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200825-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190807,20,793,EHS,E,NA,NA,S,NA,DAY14,1,H4,Sam Gurr 2019 Thresholds Geoduck BOX #18,X,20200908,73.4,Yes,51.8,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200909-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190807,13,766,EHS,E,NA,NA,S,NA,DAY14,1,H7,Sam Gurr 2019 Thresholds Geoduck BOX #16,X,20200916,35.7,Yes,17.15,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200917-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190807,23,807,EHS,E,NA,NA,S,NA,DAY14,1,E6,Sam Gurr 2019 Thresholds Geoduck BOX #10,X,20200918,86,Yes,55.9,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200923-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190814,70,1645,AHAA,A,NA,NA,NA,A,DAY21,1,G4,Sam Gurr 2019 Thresholds Geoduck BOX #16,X,20200825,89.8,Yes,41.2,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200825-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190814,61,1600,AHAA,A,NA,NA,NA,A,DAY21,1,A6,Sam Gurr 2019 Thresholds Geoduck BOX #19,X,20200825,NA,"Low, no RINe",7.8,Low,"< 10ng/µl, RNA peak is ok",https://samgurr.github.io/SamJGurr_Lab_Notebook/20200825-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190814,33,1641,AHAA,A,NA,NA,NA,A,DAY21,1,C2,Sam Gurr 2019 Thresholds Geoduck BOX #18,X,20200903,64.1,Yes,15.9,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200903-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190814,66,1615,AHAA,A,NA,NA,NA,A,DAY21,1,G5,Sam Gurr 2019 Thresholds Geoduck BOX #16,X,20200909,81.7,Yes,42.1,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200909-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190814,36,1651,AHAA,A,NA,NA,NA,A,DAY21,1,B8,Sam Gurr 2019 Thresholds Geoduck BOX #17,X,20200910,14.1,Yes,5.6,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200910-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190814,26,1603,AHAA,A,NA,NA,NA,A,DAY21,1,D3,Sam Gurr 2019 Thresholds Geoduck BOX #21,X,20200916,14.7,Yes,13.9,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200917-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190814,30,1518,AHAM,A,NA,NA,NA,M,DAY21,1,H1,Sam Gurr 2019 Thresholds Geoduck BOX #20,X,20200825,NA,"Low, no RINe",11.15,Low,"< 10ng/µl, RNA peak is ok",https://samgurr.github.io/SamJGurr_Lab_Notebook/20200825-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190814,34,1480,AHAM,A,NA,NA,NA,M,DAY21,1,I2,Sam Gurr 2019 Thresholds Geoduck BOX #6,X,20200903,129,Yes,47.1,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200903-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190814,72,1524,AHAM,A,NA,NA,NA,M,DAY21,1,E2,Sam Gurr 2019 Thresholds Geoduck BOX #10,X,20200908,44.7,Yes,23.6,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200909-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190814,25,1440,AHAM,A,NA,NA,NA,M,DAY21,1,A6,Sam Gurr 2019 Thresholds Geoduck BOX #7,X,20200917,124.5,Yes,53.9,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200917-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190814,69,1452,AHAM,A,NA,NA,NA,M,DAY21,1,I6,Sam Gurr 2019 Thresholds Geoduck BOX #11,X,20200918,109,Yes,38.3,Yes,,https://samgurr.github.io/SamJGurr_Lab_Notebook/20200923-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
20190814,62,1485,AHAM,A,NA,NA,NA,M,DAY21,1,A7,Sam Gurr 2019 Thresholds Geoduck BOX #9,X,20200918,20.6,"Low, check this!",19.15,Low,"RNA is low, but ok to sequence, DNA not visible",https://samgurr.github.io/SamJGurr_Lab_Notebook/20200923-Juvenile-Panopea-generosa-DNA-RNA-Extractions/
