"","slim_term","slim_cat","GO_count","GO_terms","GO_list","Gene_count","Gene_IDs"
"11","transport","GO:0006810",2,"GO:0006897","GO:0006897;GO:0043277",8,"PGEN_.00g058530;PGEN_.00g109150;PGEN_.00g116670;PGEN_.00g140080;PGEN_.00g186210;PGEN_.00g223660;PGEN_.00g239770;PGEN_.00g343280"
"12","vesicle-mediated transport","GO:0016192",2,"GO:0006897","GO:0006897;GO:0043277",8,"PGEN_.00g058530;PGEN_.00g109150;PGEN_.00g116670;PGEN_.00g140080;PGEN_.00g186210;PGEN_.00g223660;PGEN_.00g239770;PGEN_.00g343280"
"13","catabolic process","GO:0009056",2,"GO:0006914","GO:0006914;GO:0045732",7,"PGEN_.00g109150;PGEN_.00g116670;PGEN_.00g140080;PGEN_.00g161230;PGEN_.00g163020;PGEN_.00g183210;PGEN_.00g264160"
"14","immune system process","GO:0002376",2,"GO:0006955","GO:0006955;GO:0045087",10,"PGEN_.00g058530;PGEN_.00g108610;PGEN_.00g155000;PGEN_.00g164100;PGEN_.00g210270;PGEN_.00g210290;PGEN_.00g237990;PGEN_.00g244000;PGEN_.00g279040;PGEN_.00g308890"
"15","signal transduction","GO:0007165",7,"GO:0007166","GO:0007166;GO:0007179;GO:0007186;GO:0007189;GO:0030509;GO:0043123;GO:0051056",19,"PGEN_.00g003480;PGEN_.00g045090;PGEN_.00g058530;PGEN_.00g083050;PGEN_.00g093280;PGEN_.00g108610;PGEN_.00g112690;PGEN_.00g121110;PGEN_.00g155000;PGEN_.00g223990;PGEN_.00g224070;PGEN_.00g226740;PGEN_.00g239070;PGEN_.00g262720;PGEN_.00g265020;PGEN_.00g278670;PGEN_.00g279040;PGEN_.00g302300;PGEN_.00g327960"
"16","cell motility","GO:0048870",1,"GO:0016477","GO:0016477",5,"PGEN_.00g093280;PGEN_.00g116670;PGEN_.00g140080;PGEN_.00g163060;PGEN_.00g279040"
"17","locomotion","GO:0040011",1,"GO:0016477","GO:0016477",5,"PGEN_.00g093280;PGEN_.00g116670;PGEN_.00g140080;PGEN_.00g163060;PGEN_.00g279040"
"18","translation","GO:0006412",1,"GO:0017148","GO:0017148",3,"PGEN_.00g045430;PGEN_.00g189530;PGEN_.00g248070"
"19","cell death","GO:0008219",1,"GO:0043065","GO:0043065",6,"PGEN_.00g175950;PGEN_.00g198770;PGEN_.00g220500;PGEN_.00g223990;PGEN_.00g224070;PGEN_.00g270700"
"20","cell junction organization","GO:0034330",1,"GO:0051965","GO:0051965",3,"PGEN_.00g003480;PGEN_.00g058530;PGEN_.00g326580"
"21","cellular component assembly","GO:0022607",1,"GO:0051965","GO:0051965",3,"PGEN_.00g003480;PGEN_.00g058530;PGEN_.00g326580"
