"","Cgigas_KEGG_IDs","Cgigas_PathwayID","Pathway_Description","Pathway_gene_list","Pathway_gene_count","gene_IDs","Gene_terms"
"38","crg:105334527","crg03040","Spliceosome","105317596/105318386/105319208/105319620/105322600/105322652/105330153/105333111/105334527/105336187/105340246/105340745/105345480/105347185",14,"105334527","cell division cycle 5-like protein"
"39","crg:105335023","crg04141","Protein processing in endoplasmic reticulum","105318855/105319990/105322320/105325010/105325130/105328488/105328795/105330973/105331513/105333774/105335023",11,"105335023","ubiquilin-1"
"40","crg:105336042","crg03013","RNA transport","105338957/105318801/105319208/105321705/105321781/105322817/105327952/105328593/105330153/105331595/105331793/105336042/105343479/105317347/109617380/105344597",16,"105336042","translation initiation factor eIF-2B subunit beta"
"41","crg:105336187","crg03040","Spliceosome","105317596/105318386/105319208/105319620/105322600/105322652/105330153/105333111/105334527/105336187/105340246/105340745/105345480/105347185",14,"105336187","probable ATP-dependent RNA helicase DDX23"
"42","crg:105338957","crg03013","RNA transport","105338957/105318801/105319208/105321705/105321781/105322817/105327952/105328593/105330153/105331595/105331793/105336042/105343479/105317347/109617380/105344597",16,"105338957","elongation factor 1-alpha"
"43","crg:105340246","crg03040","Spliceosome","105317596/105318386/105319208/105319620/105322600/105322652/105330153/105333111/105334527/105336187/105340246/105340745/105345480/105347185",14,"105340246","U4/U6 small nuclear ribonucleoprotein Prp3"
"44","crg:105340745","crg03040","Spliceosome","105317596/105318386/105319208/105319620/105322600/105322652/105330153/105333111/105334527/105336187/105340246/105340745/105345480/105347185",14,"105340745","WW domain-binding protein 11"
"45","crg:105341403","crg03008","Ribosome biogenesis in eukaryotes","105318560/105323847/105326651/105327664/105329502/105329551/105331087/105332140/105341403/105342694/105347334/105347537",12,"105341403","ribosomal RNA-processing protein 7 homolog A"
"46","crg:105342694","crg03008","Ribosome biogenesis in eukaryotes","105318560/105323847/105326651/105327664/105329502/105329551/105331087/105332140/105341403/105342694/105347334/105347537",12,"105342694","RNA cytidine acetyltransferase"
"47","crg:105343479","crg03013","RNA transport","105338957/105318801/105319208/105321705/105321781/105322817/105327952/105328593/105330153/105331595/105331793/105336042/105343479/105317347/109617380/105344597",16,"105343479","eukaryotic translation initiation factor 3 subunit C"
"48","crg:105344597","crg03013","RNA transport","105338957/105318801/105319208/105321705/105321781/105322817/105327952/105328593/105330153/105331595/105331793/105336042/105343479/105317347/109617380/105344597",16,"105344597","regulator of nonsense transcripts 2"
"49","crg:105345480","crg03040","Spliceosome","105317596/105318386/105319208/105319620/105322600/105322652/105330153/105333111/105334527/105336187/105340246/105340745/105345480/105347185",14,"105345480","probable ATP-dependent RNA helicase DDX46"
"50","crg:105347185","crg03040","Spliceosome","105317596/105318386/105319208/105319620/105322600/105322652/105330153/105333111/105334527/105336187/105340246/105340745/105345480/105347185",14,"105347185","splicing factor 3A subunit 1"
"51","crg:105347334","crg03008","Ribosome biogenesis in eukaryotes","105318560/105323847/105326651/105327664/105329502/105329551/105331087/105332140/105341403/105342694/105347334/105347537",12,"105347334","large subunit GTPase 1 homolog"
"52","crg:105347537","crg03008","Ribosome biogenesis in eukaryotes","105318560/105323847/105326651/105327664/105329502/105329551/105331087/105332140/105341403/105342694/105347334/105347537",12,"105347537","U3 small nucleolar ribonucleoprotein protein MPP10"
"53","crg:109617380","crg03013","RNA transport","105338957/105318801/105319208/105321705/105321781/105322817/105327952/105328593/105330153/105331595/105331793/105336042/105343479/105317347/109617380/105344597",16,"109617380","eukaryotic translation initiation factor 4B"
