"","Day","slim_term","count","Gene_terms","Pattern"
"20","Day21","histone binding",2,"E3 ubiquitin-protein ligase UHRF1, Ribosomal RNA-processing protein 8","Transient genes: unique stress response"
"21","Day21","hydrolase activity, acting on carbo...",2,"Fatty-acid amide hydrolase 1, Vitamin D3 hydroxylase-associated protein","Transient genes: unique stress response"
"22","Day14, Day21","hydrolase activity, acting on glyco...",2,"Alpha-galactosidase A, Alpha-N-acetylgalactosaminidase","Transient genes: Ambient recovery + stress_3 = preparatory regulation?"
"23","Day21","hydrolase activity, acting on glyco...",2,"1,4-alpha-glucan-branching enzyme, Galactocerebrosidase","Transient genes: unique stress response"
"24","Day7, Day14","isomerase activity",2,"Enoyl-CoA delta isomerase 3, Peroxisomal bifunctional enzyme","Transient genes: stress_2 + Ambient recovery - frontload?"
"25","Day7","kinase activity",2,"Calcium-independent protein kinase C, Serine/threonine-protein kinase D1","Transient genes: unique stress response"
"26","Day14, Day21","ligase activity",2,"Long-chain-fatty-acid--CoA ligase 1, Long-chain-fatty-acid--CoA ligase 4","Transient genes: Ambient recovery + stress_3 = preparatory regulation?"
"27","Day14","lipid binding",2,"Phosphatidylinositol transfer protein alpha isoform, Talin-1","Transient genes: Ambient recovery = preparatory regulation?"
"28","Day7, Day14","lyase activity",2,"Enoyl-CoA delta isomerase 3, Peroxisomal bifunctional enzyme","Transient genes: stress_2 + Ambient recovery - frontload?"
"29","Day21","methyltransferase activity",2,"Ergothioneine biosynthesis protein 1 [Includes: L-histidine N(alpha)-methyltransferase, Histidine N-alpha-methyltransferase","Transient genes: unique stress response"
"30","Day21","transferase activity, transferring ...",2,"Protein O-glucosyltransferase 2, Xylosyltransferase oxt","Transient genes: unique stress response"
"31","Day21","translation factor activity, RNA bi...",2,"Elongation factor G, mitochondrial, Elongation factor Tu, mitochondrial","Transient genes: unique stress response"
"32","Day7, Day21","transmembrane transporter activity",2,"ATP-dependent translocase ABCB1, Multidrug resistance-associated protein 1","Transient genes: consistantly induced by stress"
"33","Day21","enzyme binding",3,"Beclin 1-associated autophagy-related key regulator, Isoleucine--tRNA ligase, cytoplasmic, Serine/threonine-protein kinase PAK 3","Transient genes: unique stress response"
"34","Day7, Day14","hydrolase activity, acting on glyco...",3,"Acidic mammalian chitinase, Endoglucanase, Endoglucanase E-4","Transient genes: stress_2 + Ambient recovery - frontload?"
"35","Day7, Day14","ion binding",3,"2-hydroxyacyl-CoA lyase 1, Aggrecan core protein, Brevican core protein","Transient genes: stress_2 + Ambient recovery - frontload?"
"36","Day21","isomerase activity",3,"Protein disulfide-isomerase A3, Protein disulfide-isomerase A5, Protein disulfide-isomerase A6","Transient genes: unique stress response"
"37","Day14, Day21","lipid binding",3,"AP-2 complex subunit alpha-2, Sorting nexin-13, Sorting nexin lst-4","Transient genes: Ambient recovery + stress_3 = preparatory regulation?"
"38","Day7","lipid binding",3,"Fatty acid-binding protein, adipocyte, PHD finger protein 12, Pleckstrin homology domain-containing family F member 2","Transient genes: unique stress response"
"39","Day7, Day21","lipid binding",3,"Metabotropic glutamate receptor, Sorting nexin-17, Sorting nexin-8","Transient genes: consistantly induced by stress"
"40","Day7, Day14","peptidase activity",3,"Angiotensin-converting enzyme, Dipeptidyl peptidase 8, Plasminogen","Transient genes: stress_2 + Ambient recovery - frontload?"
"41","Day14","protein-macromolecule adaptor activ...",3,"AP-2 complex subunit alpha-2, AP-2 complex subunit sigma, Talin-1","Transient genes: Ambient recovery = preparatory regulation?"
"42","Day7, Day21","protein-macromolecule adaptor activ...",3,"Synaptosomal-associated protein 25, Syntaxin, Vesicle-associated membrane protein 7","Transient genes: consistantly induced by stress"
"43","Day14","transcription factor binding",3,"26S proteasome regulatory subunit 8, Cullin-associated NEDD8-dissociated protein 1, High mobility group protein DSP1","Transient genes: Ambient recovery = preparatory regulation?"
"44","Day14, Day21","transmembrane transporter activity",3,"Probable V-type proton ATPase subunit G, V-type proton ATPase 116 kDa subunit a isoform 4, V-type proton ATPase catalytic subunit A","Transient genes: Ambient recovery + stress_3 = preparatory regulation?"
"45","Day14","isomerase activity",4,"FK506-binding protein 15, FK506-binding protein 59, Peptidyl-prolyl cis-trans isomerase B, Peptidyl-prolyl cis-trans isomerase F, mitochondrial","Transient genes: Ambient recovery = preparatory regulation?"
"46","Day21","nuclease activity",4,"Double-strand break repair protein MRE11, Nuclease EXOG, mitochondrial, Poly(U)-specific endoribonuclease-B, RNA-binding protein NOB1","Transient genes: unique stress response"
"47","Day14, Day21","peptidase activity",4,"Dipeptidyl peptidase 1, Legumain, Neprilysin, Proteasome subunit alpha type-6","Transient genes: Ambient recovery + stress_3 = preparatory regulation?"
"48","Day7","peptidase activity",4,"Caspase-8, Chymotrypsin A, Mitochondrial intermediate peptidase, Ubiquitin carboxyl-terminal hydrolase 7","Transient genes: unique stress response"
"49","Day21","protein-macromolecule adaptor activ...",4,"Syntaxin-12, Syntaxin-16, Syntaxin-5, Vesicle transport through interaction with t-SNAREs homolog 1A","Transient genes: unique stress response"
"50","Day14","transmembrane transporter activity",4,"P2X purinoceptor 4, V-type proton ATPase 16 kDa proteolipid subunit, V-type proton ATPase subunit C, V-type proton ATPase subunit H","Transient genes: Ambient recovery = preparatory regulation?"
"51","Day7","transmembrane transporter activity",4,"ATP-binding cassette sub-family A member 5, Canalicular multispecific organic anion transporter 2, Multidrug resistance-associated protein 5, V-type proton ATPase subunit D","Transient genes: unique stress response"
"52","Day7, Day14","enzyme binding",5,"Clathrin heavy chain 1, Receptor-type tyrosine-protein phosphatase eta, RUN domain-containing protein 1, TBC1 domain family member 22A, Tyrosine-protein phosphatase non-receptor type 5","Transient genes: stress_2 + Ambient recovery - frontload?"
"53","Day14, Day21","oxidoreductase activity",5,"15-hydroxyprostaglandin dehydrogenase [NAD(+)], D-erythrulose reductase, Multidrug resistance-associated protein 4, Protein disulfide-isomerase A3, Protein disulfide-isomerase A6","Transient genes: Ambient recovery + stress_3 = preparatory regulation?"
"54","Day7","oxidoreductase activity",5,"Cytochrome P450 10, Cytochrome P450 27C1, Cytochrome P450 4V2, Dimethylaniline monooxygenase [N-oxide-forming] 5, Glucose dehydrogenase [FAD, quinone]","Transient genes: unique stress response"
"55","Day7, Day14, Day21","oxidoreductase activity",5,"Alcohol dehydrogenase class-3, Dehydrogenase/reductase SDR family member 4, Hydroxyacid-oxoacid transhydrogenase, mitochondrial, Peroxisomal acyl-coenzyme A oxidase 1, Peroxisomal acyl-coenzyme A oxidase 3","Persistant genes"
"56","Day14","peptidase activity",5,"Dipeptidyl peptidase 3, Proteasome subunit alpha type-1, Proteasome subunit beta type-3, Putative serine protease K12H4.7, Ubiquitin carboxyl-terminal hydrolase 10","Transient genes: Ambient recovery = preparatory regulation?"
"57","Day14","RNA binding",5,"ATP-dependent RNA helicase DDX3X, Heterogeneous nuclear ribonucleoprotein A1, Polyadenylate-binding protein 2-B, Polyadenylate-binding protein 4, RNA-binding protein Musashi homolog Rbp6","Transient genes: Ambient recovery = preparatory regulation?"
"58","Day7, Day14, Day21","ion binding",6,"Fatty acid-binding protein, heart, Peroxisomal acyl-coenzyme A oxidase 3, Sorting nexin-12, Sorting nexin-2, Sorting nexin-27, Sorting nexin-6 [Cleaved into: Sorting nexin-6, N-terminally processed]","Persistant genes"
"59","Day14","cytoskeletal protein binding",7,"Actin-related protein 3, Alpha-parvin, Anillin, Chromatin-remodeling ATPase INO80, Leucine-rich repeat serine/threonine-protein kinase 2, Neurabin-2, Unconventional myosin-IXa","Transient genes: Ambient recovery = preparatory regulation?"
"60","Day14","transferase activity, transferring ...",7,"Glutathione S-transferase Mu 3, Glutathione S-transferase omega-1, N-alpha-acetyltransferase 10, N-alpha-acetyltransferase 35, NatC auxiliary subunit, Probable glutathione S-transferase 7, Pyrimidodiazepine synthase, Serine palmitoyltransferase 2","Transient genes: Ambient recovery = preparatory regulation?"
"61","Day7, Day14, Day21","peptidase activity",8,"Cathepsin B, Cathepsin L1, Counting factor associated protein D, Neuroendocrine convertase 1, Neurotrypsin, Plasma kallikrein, Prostasin, Trypsin beta","Persistant genes"
"62","Day21","structural molecule activity",8,"28S ribosomal protein S2, mitochondrial, 28S ribosomal protein S5, mitochondrial, 39S ribosomal protein L16, mitochondrial, 39S ribosomal protein L2, mitochondrial, 39S ribosomal protein L3, mitochondrial, 39S ribosomal protein L43, mitochondrial, 39S ribosomal protein L46, mitochondrial, S-crystallin SL11","Transient genes: unique stress response"
"63","Day21","transmembrane transporter activity",8,"Monocarboxylate transporter 2, Monocarboxylate transporter 3, Multidrug resistance-associated protein 4, Piezo-type mechanosensitive ion channel component 1, Transmembrane channel-like protein 1, Transmembrane channel-like protein 5, V-type proton ATPase subunit d 1, Xenotropic and polytropic retrovirus receptor 1","Transient genes: unique stress response"
"64","Day14, Day21","cytoskeletal protein binding",9,"Adenylyl cyclase-associated protein 1, Alpha-ketoglutarate-dependent dioxygenase alkB homolog 4, Calponin-3, Coronin-7, Dystonin, FK506-binding protein 15, Focal adhesion kinase 1, Myosin light chain kinase, smooth muscle, WASH complex subunit 1","Transient genes: Ambient recovery + stress_3 = preparatory regulation?"
"65","Day14, Day21","ion binding",9,"Acyl-CoA-binding protein, AP-2 complex subunit alpha-2, Long-chain specific acyl-CoA dehydrogenase, mitochondrial, Medium-chain specific acyl-CoA dehydrogenase, mitochondrial, Ras-related protein Rab-35, Ras and EF-hand domain-containing protein homolog, Sorting nexin-13, Sorting nexin lst-4, Ras-related protein Rab-11B","Transient genes: Ambient recovery + stress_3 = preparatory regulation?"
"66","Day7, Day14, Day21","lipid binding",9,"Apolipoprotein D, Fatty acid-binding protein, heart, Oxysterol-binding protein 2, Peroxisomal acyl-coenzyme A oxidase 3, Sorting nexin-12, Sorting nexin-2, Sorting nexin-27, Sorting nexin-6 [Cleaved into: Sorting nexin-6, N-terminally processed], NPC intracellular cholesterol transporter 2","Persistant genes"
"67","Day7, Day14","oxidoreductase activity",9,"Beta,beta-carotene 15,15'-dioxygenase, Beta,beta-carotene 9',10'-oxygenase, Cytochrome P450 3A4, Glutathione peroxidase, Glutathione peroxidase 3, Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic, Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial, L-xylulose reductase, Peroxisomal bifunctional enzyme","Transient genes: stress_2 + Ambient recovery - frontload?"
"68","Day14","ion binding",10,"Acyl-CoA dehydrogenase family member 10, Dihydrolipoyl dehydrogenase, mitochondrial, Dimethylaniline monooxygenase [N-oxide-forming] 5, Glucose dehydrogenase [FAD, quinone], Phosphatidylinositol transfer protein alpha isoform, Ras-related protein Rab-8A, Ras-related protein Rab-9B, Stabilin-2, Talin-1, Xanthine dehydrogenase/oxidase [Includes: Xanthine dehydrogenase","Transient genes: Ambient recovery = preparatory regulation?"
"69","Day14","enzyme regulator activity",11,"Alpha-2-macroglobulin-like protein 1, Baculoviral IAP repeat-containing protein 6, C3 and PZP-like alpha-2-macroglobulin domain-containing protein 8, CD109 antigen, Death-associated inhibitor of apoptosis 1, Equistatin, Four-domain proteases inhibitor, Hamartin, Inter-alpha-trypsin inhibitor heavy chain H3, WAP four-disulfide core domain protein 1, Ovomucoid","Transient genes: Ambient recovery = preparatory regulation?"
"70","Day21","RNA binding",11,"39S ribosomal protein L16, mitochondrial, Alanine--tRNA ligase, cytoplasmic, D-aminoacyl-tRNA deacylase 2, Elongation factor G, mitochondrial, Elongation factor Tu, mitochondrial, GTPase Era, mitochondrial, Isoleucine--tRNA ligase, cytoplasmic, Nuclear cap-binding protein subunit 2, Nucleic acid dioxygenase ALKBH1, Serine--tRNA synthetase-like protein Slimp, Target of EGR1 protein 1","Transient genes: unique stress response"
"71","Day7","enzyme binding",12,"[Protein ADP-ribosylarginine] hydrolase, Angiotensin-converting enzyme, BICD family-like cargo adapter 1, cGMP-dependent protein kinase 1, Death-associated inhibitor of apoptosis 1, Dual specificity protein phosphatase 10, E3 ubiquitin-protein ligase AMFR, Golgin subfamily A member 5, Iporin, Rabankyrin-5, Ras-related protein Rab-7L1, TBC1 domain family member 25","Transient genes: unique stress response"
"72","Day14","kinase activity",14,"Aurora kinase A, Cyclin-dependent kinase 9, Death-associated protein kinase 1, eIF-2-alpha kinase GCN2, Extracellular tyrosine-protein kinase PKDCC, Leucine-rich repeat serine/threonine-protein kinase 2, Neurabin-2, Ribosomal protein S6 kinase alpha-5, Serine/threonine-protein kinase Nek2, Serine/threonine-protein kinase SMG1, Slowpoke-binding protein, Stress-activated protein kinase JNK, TBC domain-containing protein kinase-like protein, Transcription intermediary factor 1-alpha","Transient genes: Ambient recovery = preparatory regulation?"
"73","Day21","oxidoreductase activity",14,"4-trimethylaminobutyraldehyde dehydrogenase, Cytosolic 10-formyltetrahydrofolate dehydrogenase, Laccase-10, Malate dehydrogenase, Malate dehydrogenase, cytoplasmic, Nucleoredoxin, Probable prolyl 4-hydroxylase 4, Prolyl 4-hydroxylase subunit alpha-1, Prolyl 4-hydroxylase subunit alpha-2, Protein disulfide-isomerase A5, Retinol dehydrogenase 12, Short-chain dehydrogenase/reductase 3, Soma ferritin, Thioredoxin domain-containing protein 17","Transient genes: unique stress response"
"74","Day21","lipid binding",16,"Cytochrome P450 3A4, DCC-interacting protein 13-alpha, Diacylglycerol O-acyltransferase 1, Estrogen receptor, Extended synaptotagmin-2, Inositol 1,4,5-trisphosphate receptor type 1, Lysosome membrane protein 2, Membrane-associated phosphatidylinositol transfer protein 2, Nischarin, Oxysterol-binding protein-related protein 11, Oxysterol-binding protein-related protein 8, StAR-related lipid transfer protein 3, WASH complex subunit 2, WD repeat domain phosphoinositide-interacting protein 2, WD repeat domain phosphoinositide-interacting protein 4, Zinc finger FYVE domain-containing protein 26","Transient genes: unique stress response"
"75","Day7, Day21","ion binding",19,"Alcohol dehydrogenase class-3, Angiotensin-converting enzyme, Betaine--homocysteine S-methyltransferase 1, Carboxypeptidase B, E3 ubiquitin-protein ligase HERC2, E3 ubiquitin-protein ligase TRIM33, L-threonine 3-dehydrogenase, Meprin A subunit alpha, Meprin A subunit beta, Peptidoglycan recognition protein 3, Prostaglandin reductase-3, Regucalcin, Sorting nexin-17, Sorting nexin-8, TNF receptor-associated factor 3, Transcription factor GATA-4, Uncharacterized protein C18H10.09, Vitamin D3 receptor, Zinc finger protein 91","Transient genes: consistantly induced by stress"
"76","Day14","oxidoreductase activity",20,"17-beta-hydroxysteroid dehydrogenase type 6, 3-hydroxybutyrate dehydrogenase type 2, Aspartyl/asparaginyl beta-hydroxylase, Cytochrome P450 1A1, Cytochrome P450 2U1, Cytochrome P450 3A24, Cytochrome P450 4F4, Cytochrome P450 4Z1, D-beta-hydroxybutyrate dehydrogenase, Dehydrogenase/reductase SDR family member 11, Dihydrolipoyl dehydrogenase, mitochondrial, Electron transfer flavoprotein subunit beta, Estradiol 17-beta-dehydrogenase 8, Glutaredoxin-1, Glutathione S-transferase omega-1, Lambda-crystallin, Pyrimidodiazepine synthase, Succinate dehydrogenase cytochrome b560 subunit, mitochondrial, Very-long-chain 3-oxoacyl-CoA reductase-B, Xanthine dehydrogenase/oxidase [Includes: Xanthine dehydrogenase","Transient genes: Ambient recovery = preparatory regulation?"
"77","Day21","enzyme regulator activity",25,"Arf-GAP domain and FG repeat-containing protein 1, Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2, Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1, Complement C3 [Cleaved into: Complement C3 beta chain; Complement C3 alpha chain; C3a anaphylatoxin; C3-beta-c, Complement C5, GATOR complex protein NPRL2, Glutamine--tRNA ligase, GTPase-activating protein and VPS9 domain-containing protein 1, GTPase-activating protein skywalker, Murinoglobulin-2, Oligophrenin-1, Ral GTPase-activating protein subunit alpha-2, Rap1 GTPase-GDP dissociation stimulator 1-B, Ras GTPase-activating protein 4, Regulator of G-protein signaling 12, Rho GTPase-activating protein 17, Rho GTPase-activating protein 32, Rho guanine nucleotide exchange factor 12, RUN domain-containing protein 1, SH3 domain-binding protein 5-like, TBC domain-containing protein kinase-like protein, TBC1 domain family member 1, TBC1 domain family member 20, TBC1 domain family member 25, TBC1 domain family member 5","Transient genes: unique stress response"
"78","Day21","cytoskeletal protein binding",27,"Actin-binding LIM protein 1, Actin-related protein 2/3 complex subunit 1A-B, Breast carcinoma-amplified sequence 3, BUB3-interacting and GLEBS motif-containing protein ZNF207, Centromere-associated protein E, Cysteine and glycine-rich protein 3, DCC-interacting protein 13-alpha, Dixin, Dystrophin, Echinoderm microtubule-associated protein-like 1, Filamin-A, Filamin-B, Histone deacetylase 6, Huntingtin, Kinesin-like protein KIF15, Kinesin-like protein KIF18A, Kinesin-like protein KIF20A, PDZ and LIM domain protein Zasp, Protein diaphanous homolog 2, Protein MTSS 1, Sodium-dependent noradrenaline transporter, Sorting nexin-6 [Cleaved into: Sorting nexin-6, N-terminally processed], Stathmin, Synaptopodin-2, Troponin I, Tubulin--tyrosine ligase-like protein 12, Twinfilin-1","Transient genes: unique stress response"
"79","Day7","ion binding",29,"[Protein ADP-ribosylarginine] hydrolase, Cytosolic carboxypeptidase 1, Death-associated inhibitor of apoptosis 1, DNA-directed RNA polymerases I, II, and III subunit RPABC5, DNA mismatch repair protein Msh6, E3 ubiquitin-protein ligase MIB1, Fatty acid-binding protein, adipocyte, Forkhead box protein K2, G/T mismatch-specific thymine DNA glycosylase, Histone acetyltransferase KAT7, Hypoxanthine-guanine phosphoribosyltransferase, Isocitrate dehydrogenase [NADP] cytoplasmic, L-rhamnonate dehydratase, Lipopolysaccharide-induced tumor necrosis factor-alpha factor homolog, Metastasis-associated protein MTA1, Mitogen-activated protein kinase kinase kinase 20, NFX1-type zinc finger-containing protein 1, Nuclear receptor subfamily 1 group D member 2, PHD finger protein 12, Pleckstrin homology domain-containing family F member 2, Protein kinase C-binding protein 1, Rab5 GDP/GTP exchange factor, Serine/arginine-rich splicing factor 7, Serine/arginine-rich splicing factor RS2Z33, Serine/threonine-protein kinase STK11, Sorbitol dehydrogenase, Sphingomyelin phosphodiesterase, Versican core protein, WW domain-binding protein 4","Transient genes: unique stress response"
"80","Day14","enzyme binding",30,"Ankyrin-2, AP-1 complex subunit beta-1, AP-2 complex subunit alpha-2, Aurora kinase A, Autophagy-related protein 13, Cdc42 homolog, CDK5 regulatory subunit-associated protein 2, Centromere-associated protein E, Cyclin-dependent kinase 9, Erythrocyte band 7 integral membrane protein, Focal adhesion kinase 1, Integrin-linked protein kinase, Kinesin-like protein KIF20A, Peptidyl-prolyl cis-trans isomerase B, Polyadenylate-binding protein 2-B, Protein Dok-7, Protein lin-10, Rab GDP dissociation inhibitor beta, Ras-related C3 botulinum toxin substrate 1, Ras-related protein Rab-8A, RB1-inducible coiled-coil protein 1, Serine/threonine-protein kinase 11-interacting protein, Stimulator of interferon genes protein, TBC domain-containing protein kinase-like protein, TBC1 domain family member 13, TBC1 domain family member 9, Titin, Unconventional myosin-Va, Unconventional myosin-Vb, Vesicle-fusing ATPase","Transient genes: Ambient recovery = preparatory regulation?"
"81","Day21","peptidase activity",30,"A disintegrin and metalloproteinase with thrombospondin motifs 18, A disintegrin and metalloproteinase with thrombospondin motifs 7, A disintegrin and metalloproteinase with thrombospondin motifs 9, Acylamino-acid-releasing enzyme, ATP-dependent Clp protease proteolytic subunit, mitochondrial, Bleomycin hydrolase, Cathepsin K, Cathepsin O, Complement C2, Disintegrin and metalloproteinase domain-containing protein 10, Disintegrin and metalloproteinase domain-containing protein 22, Endothelin-converting enzyme homolog, Matrix metalloproteinase-19, Matrix metalloproteinase-21, Matrix metalloproteinase-24, Meprin A subunit alpha, Meprin A subunit beta, Mitochondrial-processing peptidase subunit beta, Presequence protease, mitochondrial, Probable cysteine protease RD19D, Probable ubiquitin carboxyl-terminal hydrolase FAF-X, Prolyl endopeptidase, Proprotein convertase subtilisin/kexin type 7, Proteasome subunit alpha type-2, Rhomboid-related protein 1, Secreted frizzled-related protein 1, Separin, Transmembrane protease serine 11B, Ubiquitin carboxyl-terminal hydrolase 40, Zinc metalloproteinase dpy-31","Transient genes: unique stress response"
