"","Day","slim_term","count","Gene_terms","Pattern"
"11","Day7, Day14","transport",7,"26S proteasome non-ATPase regulatory subunit 3, ATP-dependent RNA helicase DDX3X, Chitotriosidase-1, Erythrocyte band 7 integral membrane protein, Ras-related protein Rab-8A, Receptor-type tyrosine-protein phosphatase eta, TBC1 domain family member 22A","Transient genes: stress_2 + ambient recovery - frontload?"
"12","Day14, Day21","vesicle-mediated transport",7,"C-type mannose receptor 2, Cdc42 homolog, FK506-binding protein 15, GTPase-activating protein and VPS9 domain-containing protein 1, Low-density lipoprotein receptor-related protein 3, Myotubularin-related protein 9, Sorting nexin-2","Transient genes: ambient recovery + stress_3 = preparatory regulation?"
"13","Day14","catabolic process",8,"Dynein light chain 1, cytoplasmic, GATOR complex protein WDR24, Leucine-rich repeat serine/threonine-protein kinase 2, Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform, Proteasome subunit alpha type-6, Ras-related protein Rab-8A, RB1-inducible coiled-coil protein 1, Ubiquitin carboxyl-terminal hydrolase 10","Transient genes: ambient recovery = preparatory regulation?"
"14","Day14, Day21","protein transport",8,"AP-2 complex subunit alpha-2, AP-2 complex subunit sigma, AP-3 complex subunit beta-1, Coatomer subunit beta', Ras-related protein Rab-35, Sorting nexin-13, TBC domain-containing protein kinase-like protein, Vam6/Vps39-like protein","Transient genes: ambient recovery + stress_3 = preparatory regulation?"
"15","Day14","response to stress",8,"AP-3 complex subunit beta-1, Hermansky-Pudlak syndrome 5 protein, Mitofusin-2, P2X purinoceptor 4, Plasma kallikrein, Plasminogen, Polyadenylate-binding protein 4, Ras-related C3 botulinum toxin substrate 1","Transient genes: ambient recovery = preparatory regulation?"
"16","Day14","cell cycle",9,"Aurora kinase A, Centromere-associated protein E, Centromere protein F, Clathrin heavy chain 1, Deubiquitinating protein VCIP135, Serine/threonine-protein kinase Nek2, Serine/threonine-protein kinase Nek4, Sorting nexin lst-4, Ubiquitin carboxyl-terminal hydrolase 3","Transient genes: ambient recovery = preparatory regulation?"
"17","Day14","protein transport",9,"ADP-ribosylation factor 1, AP-1 complex subunit sigma-2, Protein transport protein Sec31A, Ras-related protein Rab-9B, Signal transducing adapter molecule 1, TBC1 domain family member 13, TBC1 domain family member 9, Unconventional myosin-VI, Vesicle-fusing ATPase","Transient genes: ambient recovery = preparatory regulation?"
"18","Day14, Day21","catabolic process",10,"A disintegrin and metalloproteinase with thrombospondin motifs 7, Cathepsin B, Cathepsin L1, Clathrin heavy chain 1, Counting factor associated protein D, Dipeptidyl peptidase 1, Legumain, Probable serine carboxypeptidase CPVL, Tectonin beta-propeller repeat-containing protein 2, Vam6/Vps39-like protein","Transient genes: ambient recovery + stress_3 = preparatory regulation?"
"19","Day7, Day14, Day21","protein transport",10,"AP-1 complex subunit beta-1, Clathrin heavy chain 1, Clathrin light chain A, Ras-related protein Rab-32, Ras-related protein Rab-32B, RUN domain-containing protein 1, Sorting nexin-2, Sorting nexin-27, Sorting nexin-6 [Cleaved into: Sorting nexin-6, N-terminally processed], Syntaxin","Persistant genes"
"20","Day21","signal transduction",10,"Focal adhesion kinase 1, Low-density lipoprotein receptor-related protein 2, Malignant fibrous histiocytoma-amplified sequence 1 homolog, Oxysterol-binding protein-related protein 8, P2X purinoceptor 4, Phosphatidylinositol 3-kinase regulatory subunit alpha, Proto-oncogene tyrosine-protein kinase receptor Ret, Receptor-type tyrosine-protein phosphatase eta, Semaphorin-5A, Storkhead-box protein 1","Transient genes: unique stress response"
"21","Day7, Day14, Day21","transport",10,"AP-1 complex subunit beta-1, Clathrin heavy chain 1, Clathrin light chain A, Ras-related protein Rab-32, Ras-related protein Rab-32B, RUN domain-containing protein 1, Sorting nexin-2, Sorting nexin-27, Sorting nexin-6 [Cleaved into: Sorting nexin-6, N-terminally processed], Syntaxin","Persistant genes"
"22","Day21","lipid metabolic process",11,"Aldehyde dehydrogenase family 3 member A2, Complement C3 [Cleaved into: Complement C3 beta chain; Complement C3 alpha chain; C3a anaphylatoxin; C3-beta-c, Enoyl-CoA hydratase domain-containing protein 3, mitochondrial, Fatty acid-binding protein, heart, Glutathione hydrolase 1 proenzyme, Glycerol-3-phosphate acyltransferase 4, Long-chain-fatty-acid--CoA ligase 4, Malonate--CoA ligase ACSF3, mitochondrial, Peroxisomal 2,4-dienoyl-CoA reductase, Peroxisomal carnitine O-octanoyltransferase, Sphingosine-1-phosphate lyase 1","Transient genes: unique stress response"
"23","Day21","small molecule metabolic process",11,"Aldehyde dehydrogenase family 3 member A2, Complement C3 [Cleaved into: Complement C3 beta chain; Complement C3 alpha chain; C3a anaphylatoxin; C3-beta-c, Enoyl-CoA hydratase domain-containing protein 3, mitochondrial, Fatty acid-binding protein, heart, Glutathione hydrolase 1 proenzyme, Glycerol-3-phosphate acyltransferase 4, Long-chain-fatty-acid--CoA ligase 4, Malonate--CoA ligase ACSF3, mitochondrial, Peroxisomal 2,4-dienoyl-CoA reductase, Peroxisomal carnitine O-octanoyltransferase, Sphingosine-1-phosphate lyase 1","Transient genes: unique stress response"
"24","Day7","transport",12,"[Protein ADP-ribosylarginine] hydrolase, Cation-dependent mannose-6-phosphate receptor, Charged multivesicular body protein 6-A, Copine-3, Mitochondrial import inner membrane translocase subunit Tim23, Pleckstrin homology domain-containing family F member 2, Rab GTPase-binding effector protein 1, Rab5 GDP/GTP exchange factor, RAD50-interacting protein 1, Spermatogenesis-defective protein 39 homolog, Synergin gamma, Unconventional myosin-Id","Transient genes: unique stress response"
"25","Day21","cell motility",13,"Coronin-1A, Disintegrin and metalloproteinase domain-containing protein 10, Focal adhesion kinase 1, Integrin beta-1, Laminin subunit beta-1, Myosin light chain kinase, smooth muscle, Phosphatidylinositol 3-kinase regulatory subunit alpha, Proto-oncogene tyrosine-protein kinase receptor Ret, Ras-related protein R-Ras2, Rho family-interacting cell polarization regulator 1, Synaptopodin-2, Syntenin-1, Tight junction protein ZO-1","Transient genes: unique stress response"
"26","Day21","locomotion",13,"Coronin-1A, Disintegrin and metalloproteinase domain-containing protein 10, Focal adhesion kinase 1, Integrin beta-1, Laminin subunit beta-1, Myosin light chain kinase, smooth muscle, Phosphatidylinositol 3-kinase regulatory subunit alpha, Proto-oncogene tyrosine-protein kinase receptor Ret, Ras-related protein R-Ras2, Rho family-interacting cell polarization regulator 1, Synaptopodin-2, Syntenin-1, Tight junction protein ZO-1","Transient genes: unique stress response"
"27","Day14","vesicle-mediated transport",13,"Ankyrin-2, Caveolin-3, Cofilin, Cullin-associated NEDD8-dissociated protein 1, Early endosome antigen 1, Leucine-rich repeat serine/threonine-protein kinase 2, Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform, Phosphoglucomutase-2, Ras-related C3 botulinum toxin substrate 1, Stabilin-2, Stimulator of interferon genes protein, Talin-1, Unconventional myosin-VI","Transient genes: ambient recovery = preparatory regulation?"
"28","Day21","protein transport",14,"ADP-ribosylation factor 6, Amyloid protein-binding protein 2, E3 ubiquitin-protein ligase HERC2, Histone deacetylase 6, Ras-related protein Rab-11B, Ras-related protein Rab-14, Ras-related protein Rab-2A, Syntaxin-12, Syntaxin-16, Syntaxin-5, TBC1 domain family member 1, TBC1 domain family member 5, Tether containing UBX domain for GLUT4, Vacuolar protein sorting-associated protein 41 homolog","Transient genes: unique stress response"
"29","Day21","catabolic process",15,"Activating molecule in BECN1-regulated autophagy protein 1, ATP-dependent Clp protease proteolytic subunit, mitochondrial, Beclin-1 [Cleaved into: Beclin-1-C 35 kDa; Beclin-1-C 37 kDa], Cathepsin K, Cathepsin O, Guanine nucleotide exchange protein smcr8a, Histone deacetylase 6, Probable cysteine protease RD19D, TBC1 domain family member 25, TBC1 domain family member 5, UV radiation resistance-associated protein, Vacuolar protein sorting-associated protein 13A, Vacuolar protein sorting-associated protein 41 homolog, Vesicle transport through interaction with t-SNAREs homolog 1A, WD repeat domain phosphoinositide-interacting protein 4","Transient genes: unique stress response"
"30","Day21","cytoskeleton organization",15,"Cdc42 homolog, Cysteine and glycine-rich protein 3, Dual specificity testis-specific protein kinase 2, F-actin-capping protein subunit alpha, Filamin-B, FYVE, RhoGEF and PH domain-containing protein 6, LIM domain kinase 1, Nischarin, Oligophrenin-1, PDZ and LIM domain protein Zasp, Protein kinase C and casein kinase substrate in neurons protein 2, Rho-related GTP-binding protein RhoQ, Rho guanine nucleotide exchange factor 17, Secreted frizzled-related protein 1, Syntenin-1","Transient genes: unique stress response"
"31","Day7, Day21","transport",17,"Calcium-dependent secretion activator 1, Coiled-coil domain-containing protein 93, Conserved oligomeric Golgi complex subunit 6, Coronin-7, Deleted in malignant brain tumors 1 protein, DnaJ homolog subfamily C member 13, Programmed cell death 6-interacting protein, Ras-related protein Rab-7L1, Sorting nexin-12, Sorting nexin-17, Sorting nexin-8, TBC1 domain family member 25, Vacuolar protein sorting-associated protein 29, Vesicle-associated membrane protein 7, WASH complex subunit 2, WASH complex subunit 2A, WASH complex subunit 4","Transient genes: consistantly induced by stress"
"32","Day14, Day21","transport",21,"AP-2 complex subunit alpha-2, AP-2 complex subunit sigma, AP-3 complex subunit beta-1, Apolipoprotein D, ATP-binding cassette sub-family A member 5, C-type mannose receptor 2, Cdc42 homolog, Coatomer subunit beta', FK506-binding protein 15, GTPase-activating protein and VPS9 domain-containing protein 1, Low-density lipoprotein receptor-related protein 3, Myotubularin-related protein 9, Non-specific lipid-transfer protein, Nose resistant to fluoxetine protein 6, Oxysterol-binding protein 2, Protein spinster homolog 1, Ras-related protein Rab-35, Sorting nexin-13, TBC domain-containing protein kinase-like protein, Vam6/Vps39-like protein, Vigilin","Transient genes: ambient recovery + stress_3 = preparatory regulation?"
"33","Day14","transport",28,"ADP-ribosylation factor 1, ADP-ribosylation factor 4, Ankyrin-2, AP-1 complex subunit sigma-2, ATP-binding cassette sub-family A member 3, Caveolin-3, Cofilin, Cullin-associated NEDD8-dissociated protein 1, Early endosome antigen 1, Leucine-rich repeat serine/threonine-protein kinase 2, Microsomal triglyceride transfer protein large subunit, Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform, Phosphoglucomutase-2, Protein transport protein Sec31A, Rab GDP dissociation inhibitor beta, Ras-related C3 botulinum toxin substrate 1, Ras-related protein Rab-1A, Ras-related protein Rab-9B, Signal transducing adapter molecule 1, Stabilin-2, Stimulator of interferon genes protein, Talin-1, TBC1 domain family member 13, TBC1 domain family member 9, Unconventional myosin-Va, Unconventional myosin-Vb, Unconventional myosin-VI, Vesicle-fusing ATPase","Transient genes: ambient recovery = preparatory regulation?"
"34","Day21","vesicle-mediated transport",30,"AP2-associated protein kinase 1, Beclin-1 [Cleaved into: Beclin-1-C 35 kDa; Beclin-1-C 37 kDa], CD209 antigen, Charged multivesicular body protein 7, Clathrin heavy chain 1, Extended synaptotagmin-2, Huntingtin, Low-density lipoprotein receptor-related protein 2, Low-density lipoprotein receptor-related protein 4, Low density lipoprotein receptor adapter protein 1-B, Mucolipin-1, Phosphatidylinositol-binding clathrin assembly protein LAP, Probable phospholipid-transporting ATPase IIB, Protein spinster, Ras-related protein Rab-35, Ras-related protein Rab-7L1, Rho-related GTP-binding protein RhoQ, Sortilin-related receptor, Sorting nexin-27, Sorting nexin-6 [Cleaved into: Sorting nexin-6, N-terminally processed], Syntaxin-16, TBC1 domain family member 5, Vacuolar protein sorting-associated protein 29, Vacuolar protein sorting-associated protein 4A, Vacuolar protein sorting-associated protein 51 homolog, Vesicle transport through interaction with t-SNAREs homolog 1A, WASH complex subunit 1, WASH complex subunit 2, WASH complex subunit 2A, WASH complex subunit 4","Transient genes: unique stress response"
"35","Day21","transport",60,"A disintegrin and metalloproteinase with thrombospondin motifs 9, ADP-ribosylation factor 6, Amyloid protein-binding protein 2, Ankyrin repeat domain-containing protein 27, Ankyrin repeat domain-containing protein 50, AP-1 complex-associated regulatory protein, AP2-associated protein kinase 1, ATP-binding cassette sub-family A member 2, Autophagy-related protein 16-1, Beclin-1 [Cleaved into: Beclin-1-C 35 kDa; Beclin-1-C 37 kDa], C-Jun-amino-terminal kinase-interacting protein 3, CD209 antigen, Charged multivesicular body protein 2b, Charged multivesicular body protein 3, Charged multivesicular body protein 7, Conserved oligomeric Golgi complex subunit 1, Conserved oligomeric Golgi complex subunit 5, Cubilin homolog, Derlin-1, E3 ubiquitin-protein ligase DTX3L, E3 ubiquitin-protein ligase HERC2, Exocyst complex component 3, Exocyst complex component 7, Exocyst complex component 8, Extended synaptotagmin-2, Extracellular tyrosine-protein kinase PKDCC, FTS and Hook-interacting protein homolog, Histone deacetylase 6, Huntingtin, Low-density lipoprotein receptor-related protein 2, Low-density lipoprotein receptor-related protein 4, Low density lipoprotein receptor adapter protein 1-B, Mucolipin-1, Oxysterol-binding protein-related protein 11, Phosphatidylinositol-binding clathrin assembly protein LAP, Poly [ADP-ribose] polymerase tankyrase-1, Probable phospholipid-transporting ATPase IIB, Protein mono-ADP-ribosyltransferase PARP11, Protein spinster, Ras-related protein Rab-11B, Ras-related protein Rab-14, Ras-related protein Rab-2A, Rho-related GTP-binding protein RhoQ, Sortilin-related receptor, Sorting nexin lst-4, Synaptosomal-associated protein 25, Syntaxin-12, Syntaxin-16, Syntaxin-5, TBC1 domain family member 1, TBC1 domain family member 5, Tether containing UBX domain for GLUT4, Tyrosine-protein phosphatase non-receptor type 23, Vacuolar fusion protein CCZ1 homolog, Vacuolar protein sorting-associated protein 41 homolog, Vacuolar protein sorting-associated protein 4A, Vacuolar protein sorting-associated protein 51 homolog, Vesicle transport protein SFT2B, Vesicle transport through interaction with t-SNAREs homolog 1A, WASH complex subunit 1","Transient genes: unique stress response"
