"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","moduleColor","Day"
"29","GO:0000923",0.0211113572501156,0.999098771885439,2,4,"equatorial microtubule organizing center","CC","red","Day21"
"30","GO:0098831",0.0211747941552569,0.997560634590183,3,11,"presynaptic active zone cytoplasmic component","CC","red","Day21"
"31","GO:0043196",0.0213270483987853,0.998942327540631,2,5,"varicosity","CC","red","Day21"
"32","GO:0030686",0.0219068026960114,0.997392283378264,3,12,"90S preribosome","CC","red","Day21"
"33","GO:1990391",0.0220080920948735,0.999039059777439,2,4,"DNA repair complex","CC","red","Day21"
"34","GO:0005761",0.023547099531343,0.998539490214062,2,8,"mitochondrial ribosome","CC","red","Day21"
"35","GO:0005783",0.0238237831706364,0.985346291293908,31,615,"endoplasmic reticulum","CC","red","Day21"
"36","GO:0048786",0.0247338841486944,0.994157056205055,5,31,"presynaptic active zone","CC","red","Day21"
"37","GO:0030915",0.0248474930292829,0.998548548358925,2,6,"Smc5-Smc6 complex","CC","red","Day21"
"38","GO:0070436",0.0267097370349061,1,1,1,"Grb2-EGFR complex","CC","red","Day21"
"39","GO:0005794",0.0271104995826699,0.982436170319911,37,684,"Golgi apparatus","CC","red","Day21"
"40","GO:0005762",0.0273458960549533,0.99596205276205,3,41,"mitochondrial large ribosomal subunit","CC","red","Day21"
"41","GO:0098794",0.0285639407504247,0.990590094508581,7,76,"postsynapse","CC","red","Day21"
"42","GO:0042025",0.0306998084801082,0.999591855846479,1,7,"host cell nucleus","CC","red","Day21"
"43","GO:0000243",0.0311962172155044,0.998097712247747,2,5,"commitment complex","CC","red","Day21"
"44","GO:0016442",0.0314748983580106,0.998071335097105,2,5,"RISC complex","CC","red","Day21"
"45","GO:0031461",0.0320801042952413,0.997732297054556,2,7,"cullin-RING ubiquitin ligase complex","CC","red","Day21"
"46","GO:0072492",0.0331764196672381,0.999720563774295,1,2,"host cell mitochondrial intermembrane space","CC","red","Day21"
"47","GO:0071004",0.0346783208698375,0.994919318221976,3,14,"U2-type prespliceosome","CC","red","Day21"
"48","GO:0043025",0.0384327632809054,0.977307418965029,23,345,"neuronal cell body","CC","red","Day21"
"49","GO:0032300",0.0385523445418879,0.997358059845032,2,5,"mismatch repair complex","CC","red","Day21"
"50","GO:0012506",0.0386486441377423,0.994024572793919,3,15,"vesicle membrane","CC","red","Day21"
"51","GO:0000408",0.0390758814144799,0.999482707498705,1,3,"EKC/KEOPS complex","CC","red","Day21"
"52","GO:0005643",0.0394988378953258,0.989213915133436,5,40,"nuclear pore","CC","red","Day21"
"53","GO:0001650",0.0399459187387149,0.987347043992241,6,55,"fibrillar center","CC","red","Day21"
"54","GO:0005730",0.0405516816642481,0.97483728806905,27,443,"nucleolus","CC","red","Day21"
"55","GO:0005664",0.0414360010703946,0.99662951253289,2,7,"nuclear origin of replication recognition complex","CC","red","Day21"
"56","GO:0031464",0.0419753034635837,0.996435322403041,2,8,"Cul4A-RING E3 ubiquitin ligase complex","CC","red","Day21"
"57","GO:1990904",0.0425996306977759,0.983454791250168,8,91,"ribonucleoprotein complex","CC","red","Day21"
"58","GO:0000118",0.0455767477180557,0.989565502507032,4,24,"histone deacetylase complex","CC","red","Day21"
"59","GO:0034364",0.0463774113496788,0.995460028229618,2,13,"high-density lipoprotein particle","CC","red","Day21"
"60","GO:0031307",0.0477082591234646,0.995534666520904,2,9,"integral component of mitochondrial outer membrane","CC","red","Day21"
"61","GO:0031097",0.0478830257424882,1,1,1,"medial cortex","CC","red","Day21"
"62","GO:0003677",0.00188271487290247,0.998935376139704,42,827,"DNA binding","MF","red","Day21"
"63","GO:0017056",0.0022627362425095,0.999729762722618,5,17,"structural constituent of nuclear pore","MF","red","Day21"
"64","GO:0032217",0.00260603239729675,1,2,2,"riboflavin transmembrane transporter activity","MF","red","Day21"
"65","GO:0017075",0.00269134261897473,0.999753288876628,4,15,"syntaxin-1 binding","MF","red","Day21"
"66","GO:0015179",0.00309085839943375,0.999705438395173,4,15,"L-amino acid transmembrane transporter activity","MF","red","Day21"
"67","GO:0008440",0.00352687720797909,1,2,2,"inositol-1,4,5-trisphosphate 3-kinase activity","MF","red","Day21"
"68","GO:0017108",0.00487671301989142,0.99972446769888,3,7,"5'-flap endonuclease activity","MF","red","Day21"
"69","GO:0043008",0.00538838572628616,0.999920647516703,2,3,"ATP-dependent protein binding","MF","red","Day21"
"70","GO:0003729",0.00580538407908513,0.998167488526056,10,88,"mRNA binding","MF","red","Day21"
"71","GO:0046873",0.00647224707600433,1,2,2,"metal ion transmembrane transporter activity","MF","red","Day21"
"72","GO:0005524",0.00725203225688636,0.994878323104089,85,1472,"ATP binding","MF","red","Day21"
"73","GO:0004518",0.00734903654391751,0.998973664709313,4,53,"nuclease activity","MF","red","Day21"
"74","GO:0046872",0.00859644429551149,0.993809796424625,91,1937,"metal ion binding","MF","red","Day21"
"75","GO:0016409",0.00882620984300544,0.999268306473926,3,11,"palmitoyltransferase activity","MF","red","Day21"
"76","GO:0047485",0.00954273144345337,0.997522366583064,7,53,"protein N-terminus binding","MF","red","Day21"
"77","GO:0031625",0.0102268537532425,0.995864828006241,13,158,"ubiquitin protein ligase binding","MF","red","Day21"
"78","GO:0042803",0.010492881294753,0.993750836052385,35,561,"protein homodimerization activity","MF","red","Day21"
"79","GO:0044877",0.0126001589410242,0.994200296654412,16,237,"protein-containing complex binding","MF","red","Day21"
"80","GO:0043621",0.0129260792761095,0.996528187040042,7,39,"protein self-association","MF","red","Day21"
"81","GO:0032137",0.0145123504741912,0.999638783782802,2,3,"guanine/thymine mispair binding","MF","red","Day21"
"82","GO:0070976",0.0147566280839845,0.999227737685468,2,12,"TIR domain binding","MF","red","Day21"
"83","GO:0003712",0.0148258852774216,0.996267598345632,6,52,"transcription coregulator activity","MF","red","Day21"
"84","GO:0043139",0.0149362984073928,0.99921333631376,2,12,"5'-3' DNA helicase activity","MF","red","Day21"
"85","GO:0140036",0.0175249963006755,0.999323379323748,2,4,"ubiquitin-dependent protein binding","MF","red","Day21"
"86","GO:0004063",0.0177944164952589,0.999023361597235,2,9,"aryldialkylphosphatase activity","MF","red","Day21"
"87","GO:0102007",0.0177944164952589,0.999023361597235,2,9,"acyl-L-homoserine-lactone lactonohydrolase activity","MF","red","Day21"
"88","GO:0035197",0.0186168539718722,0.999257458015803,2,4,"siRNA binding","MF","red","Day21"
"89","GO:0008327",0.0190162513198789,0.999037905756056,2,6,"methyl-CpG binding","MF","red","Day21"
"90","GO:0008139",0.0213754515361589,0.997479398828667,3,12,"nuclear localization sequence binding","MF","red","Day21"
"91","GO:0102567",0.0232768773358298,0.997017375806636,3,16,"phospholipase A2 activity (consuming 1,2-dipalmitoylphosphatidylcholine)","MF","red","Day21"
"92","GO:0102568",0.0232768773358298,0.997017375806636,3,16,"phospholipase A2 activity consuming 1,2-dioleoylphosphatidylethanolamine)","MF","red","Day21"
"93","GO:0043812",0.0243169085152785,0.998879045467089,2,4,"phosphatidylinositol-4-phosphate phosphatase activity","MF","red","Day21"
"94","GO:0016740",0.0247020128235345,0.992849561093249,6,94,"transferase activity","MF","red","Day21"
"95","GO:0004064",0.0247310863412932,0.99832032682888,2,11,"arylesterase activity","MF","red","Day21"
"96","GO:0031402",0.0249306987634404,0.998541054793146,2,6,"sodium ion binding","MF","red","Day21"
"97","GO:0003924",0.0276660749197408,0.987112312307711,13,248,"GTPase activity","MF","red","Day21"
"98","GO:0051087",0.0305146267045314,0.990853314648098,6,65,"chaperone binding","MF","red","Day21"
"99","GO:0008409",0.0311945789373155,0.997747923777892,2,8,"5'-3' exonuclease activity","MF","red","Day21"
"100","GO:0019706",0.031401855367094,0.995312035687269,3,22,"protein-cysteine S-palmitoyltransferase activity","MF","red","Day21"
"101","GO:0019209",0.0337471172552344,0.997671419495751,2,6,"kinase activator activity","MF","red","Day21"
"102","GO:0003958",0.03394425332114,0.997309619959471,2,10,"NADPH-hemoprotein reductase activity","MF","red","Day21"
"103","GO:0003714",0.0376700925222291,0.984764312873601,9,101,"transcription corepressor activity","MF","red","Day21"
"104","GO:0046983",0.0418201281052414,0.984793042749688,7,144,"protein dimerization activity","MF","red","Day21"
"105","GO:0008094",0.0480006860528451,0.991657196143598,3,19,"DNA-dependent ATPase activity","MF","red","Day21"
"106","GO:0004674",0.0490461824311312,0.970360933791816,23,304,"protein serine/threonine kinase activity","MF","red","Day21"
"107","GO:0005623",0.00208134159225495,0.99881134855818,43,696,NA,NA,"red","Day21"
