hgnc_symbol,hgnc_id,go_name,go_id,go_domain,ncon_gene,ncon_go,global_padj,gene_padj,pval,sim,sem_sim,cilow_global_padj,ciupp_global_padj,cilow_gene_padj,ciupp_gene_padj,cilow_pval,ciupp_pval
NPC2,14537,cholesterol homeostasis,GO:0042632,biological process,15,2,1.695e-01,7.109e-02,5.674e-02,6.801e-01,2.154e-02,1.567e-01,1.833e-01,5.065e-02,9.976e-02,4.002e-02,8.043e-02
NPC2,14537,extracellular exosome,GO:0070062,cellular component,15,26,1.699e-01,7.589e-02,6.595e-02,6.581e-01,1.278e-02,1.681e-01,1.716e-01,6.248e-02,9.219e-02,5.419e-02,8.025e-02
NPC2,14537,protein binding,GO:0005515,molecular function,15,161,1.709e-01,6.847e-02,5.635e-02,6.808e-01,3.250e-02,1.697e-01,1.722e-01,4.657e-02,1.007e-01,3.342e-02,9.502e-02
NPC2,14537,cholesterol transfer activity,GO:0120020,molecular function,15,2,1.756e-01,7.619e-02,6.744e-02,6.534e-01,2.366e-02,1.639e-01,1.881e-01,5.376e-02,1.080e-01,4.629e-02,9.825e-02
NPC2,14537,extracellular space,GO:0005615,cellular component,15,21,1.791e-01,8.076e-02,8.076e-02,6.262e-01,1.537e-02,1.690e-01,1.897e-01,6.386e-02,1.021e-01,6.386e-02,1.021e-01
BPNT1,1096,"3'(2'),5'-bisphosphate nucleotidase activity",GO:0008441,molecular function,2,2,6.151e-01,6.016e-01,6.016e-01,1.946e-01,3.633e-02,4.826e-01,7.840e-01,4.637e-01,7.806e-01,4.637e-01,7.806e-01
EPDR1,17572,identical protein binding,GO:0042802,molecular function,7,11,1.588e-01,8.864e-02,2.634e-02,7.961e-01,1.917e-02,1.483e-01,1.701e-01,6.775e-02,1.160e-01,1.976e-02,3.512e-02
EPDR1,17572,phospholipid binding,GO:0005543,molecular function,7,11,1.588e-01,8.864e-02,3.367e-02,7.572e-01,1.415e-02,1.483e-01,1.701e-01,6.775e-02,1.160e-01,2.676e-02,4.236e-02
EPDR1,17572,myofibroblast contraction,GO:1990764,biological process,7,2,1.672e-01,9.786e-02,6.140e-02,6.668e-01,3.398e-02,1.488e-01,1.878e-01,6.165e-02,1.553e-01,3.619e-02,1.042e-01
EPDR1,17572,ganglioside GM1 binding,GO:1905573,molecular function,7,3,1.694e-01,9.547e-02,5.674e-02,6.797e-01,2.161e-02,1.539e-01,1.865e-01,7.637e-02,1.194e-01,4.020e-02,8.007e-02
EPDR1,17572,lysosome,GO:0005764,cellular component,7,12,1.719e-01,1.032e-01,6.886e-02,6.479e-01,4.777e-02,1.437e-01,2.057e-01,6.744e-02,1.580e-01,3.298e-02,1.438e-01
EPDR1,17572,protein binding,GO:0005515,molecular function,7,161,1.866e-01,1.197e-01,9.096e-02,6.056e-01,3.403e-02,1.676e-01,2.076e-01,7.604e-02,1.886e-01,5.431e-02,1.523e-01
EPDR1,17572,extracellular region,GO:0005576,cellular component,7,11,2.464e-01,1.793e-01,1.793e-01,4.894e-01,2.290e-02,2.076e-01,2.925e-01,1.343e-01,2.392e-01,1.343e-01,2.392e-01
FOLR1,3791,methotrexate binding,GO:0051870,molecular function,16,7,1.652e-01,2.979e-01,5.649e-02,6.820e-01,3.145e-03,1.571e-01,1.737e-01,2.271e-01,3.908e-01,5.361e-02,5.953e-02
FOLR1,3791,folic acid binding,GO:0005542,molecular function,16,8,1.653e-01,2.979e-01,5.712e-02,6.804e-01,1.616e-03,1.573e-01,1.736e-01,2.271e-01,3.908e-01,5.567e-02,5.860e-02
FOLR1,3791,folic acid receptor activity,GO:0061714,molecular function,16,2,1.891e-01,2.979e-01,9.907e-02,5.931e-01,1.507e-02,1.831e-01,1.952e-01,2.271e-01,3.908e-01,7.926e-02,1.238e-01
FOLR1,3791,sperm-egg recognition,GO:0035036,biological process,16,4,1.932e-01,2.979e-01,1.102e-01,5.758e-01,4.321e-03,1.857e-01,2.009e-01,2.271e-01,3.908e-01,1.036e-01,1.173e-01
FOLR1,3791,cell adhesion,GO:0007155,biological process,16,12,2.022e-01,3.019e-01,1.199e-01,5.609e-01,2.185e-02,1.756e-01,2.328e-01,2.261e-01,4.031e-01,8.797e-02,1.635e-01
FOLR1,3791,fusion of sperm to egg plasma membrane involved in single fertilization,GO:0007342,biological process,16,3,2.048e-01,2.979e-01,1.253e-01,5.540e-01,1.597e-02,1.840e-01,2.279e-01,2.271e-01,3.908e-01,1.000e-01,1.570e-01
FOLR1,3791,folic acid transport,GO:0015884,biological process,16,8,2.181e-01,3.019e-01,1.368e-01,5.380e-01,2.514e-02,1.906e-01,2.496e-01,2.261e-01,4.031e-01,9.625e-02,1.945e-01
FOLR1,3791,protein binding,GO:0005515,molecular function,16,161,2.347e-01,3.019e-01,1.634e-01,5.062e-01,2.690e-02,1.986e-01,2.775e-01,2.261e-01,4.031e-01,1.136e-01,2.349e-01
FOLR1,3791,extracellular exosome,GO:0070062,cellular component,16,26,2.450e-01,3.019e-01,1.746e-01,4.927e-01,3.529e-02,1.930e-01,3.111e-01,2.261e-01,4.031e-01,1.103e-01,2.762e-01
FOLR1,3791,cellular response to folic acid,GO:0071231,biological process,16,6,2.637e-01,3.019e-01,1.993e-01,4.691e-01,2.657e-02,2.183e-01,3.187e-01,2.261e-01,4.031e-01,1.421e-01,2.795e-01
FOLR1,3791,anchored component of external side of plasma membrane,GO:0031362,cellular component,16,3,2.722e-01,3.178e-01,2.112e-01,4.589e-01,1.571e-02,2.439e-01,3.038e-01,2.618e-01,3.857e-01,1.747e-01,2.553e-01
FOLR1,3791,cell surface,GO:0009986,cellular component,16,6,3.131e-01,3.323e-01,2.595e-01,4.158e-01,2.489e-02,2.591e-01,3.783e-01,2.566e-01,4.303e-01,1.954e-01,3.445e-01
FOLR1,3791,signaling receptor activity,GO:0038023,molecular function,16,27,3.991e-01,3.944e-01,3.618e-01,3.395e-01,3.224e-02,3.115e-01,5.112e-01,3.117e-01,4.990e-01,2.623e-01,4.989e-01
FOLR1,3791,nucleus,GO:0005634,cellular component,16,26,4.124e-01,4.251e-01,3.751e-01,3.317e-01,2.522e-02,3.361e-01,5.062e-01,3.609e-01,5.007e-01,2.952e-01,4.766e-01
FOLR1,3791,apical plasma membrane,GO:0016324,cellular component,16,3,4.125e-01,4.317e-01,3.718e-01,3.327e-01,3.230e-02,3.214e-01,5.294e-01,3.298e-01,5.652e-01,2.682e-01,5.155e-01
FOLR1,3791,basolateral plasma membrane,GO:0016323,cellular component,16,2,4.696e-01,4.501e-01,4.405e-01,2.905e-01,2.477e-02,3.896e-01,5.660e-01,3.732e-01,5.430e-01,3.501e-01,5.543e-01
KLKB1,6371,extracellular exosome,GO:0070062,cellular component,5,26,3.954e-01,7.255e-01,3.562e-01,3.425e-01,3.549e-02,3.001e-01,5.208e-01,5.425e-01,9.703e-01,2.527e-01,5.021e-01
KLKB1,6371,protein binding,GO:0005515,molecular function,5,161,4.327e-01,7.255e-01,3.956e-01,3.154e-01,4.057e-02,3.129e-01,5.982e-01,5.425e-01,9.703e-01,2.654e-01,5.898e-01
KLKB1,6371,extracellular space,GO:0005615,cellular component,5,21,4.688e-01,7.255e-01,4.358e-01,2.899e-01,4.137e-02,3.465e-01,6.342e-01,5.425e-01,9.703e-01,3.042e-01,6.242e-01
KLKB1,6371,plasminogen activation,GO:0031639,biological process,5,3,6.925e-01,7.603e-01,6.863e-01,1.478e-01,3.250e-02,5.717e-01,8.388e-01,5.907e-01,9.784e-01,5.621e-01,8.379e-01
KLKB1,6371,positive regulation of fibrinolysis,GO:0051919,biological process,5,4,7.639e-01,7.603e-01,7.603e-01,9.684e-02,4.679e-02,5.983e-01,9.753e-01,5.907e-01,9.784e-01,5.907e-01,9.784e-01
FAT4,23109,extracellular exosome,GO:0070062,cellular component,3,26,1.727e-01,1.041e-01,7.284e-02,6.424e-01,7.071e-03,1.684e-01,1.771e-01,8.459e-02,1.281e-01,6.530e-02,8.126e-02
FAT4,23109,protein binding,GO:0005515,molecular function,3,161,1.826e-01,1.041e-01,8.475e-02,6.185e-01,1.257e-02,1.736e-01,1.921e-01,8.459e-02,1.281e-01,7.002e-02,1.026e-01
FAT4,23109,cell-cell adhesion,GO:0098609,biological process,3,22,1.869e-01,1.129e-01,8.422e-02,6.156e-01,5.094e-02,1.464e-01,2.386e-01,7.870e-02,1.618e-01,3.905e-02,1.816e-01
DCXR,18985,identical protein binding,GO:0042802,molecular function,11,11,1.588e-01,1.017e-01,2.351e-02,8.128e-01,1.768e-02,1.483e-01,1.701e-01,7.610e-02,1.358e-01,1.801e-02,3.070e-02
DCXR,18985,L-xylulose reductase (NADP+) activity,GO:0050038,molecular function,11,2,1.596e-01,1.017e-01,3.906e-02,7.356e-01,2.140e-02,1.495e-01,1.703e-01,7.610e-02,1.358e-01,2.759e-02,5.529e-02
DCXR,18985,carbonyl reductase (NADPH) activity,GO:0004090,molecular function,11,2,1.598e-01,1.017e-01,3.964e-02,7.334e-01,2.184e-02,1.498e-01,1.704e-01,7.610e-02,1.358e-01,2.770e-02,5.671e-02
DCXR,18985,glucose metabolic process,GO:0006006,biological process,11,8,1.618e-01,1.017e-01,4.981e-02,6.997e-01,5.251e-03,1.533e-01,1.707e-01,7.610e-02,1.358e-01,4.559e-02,5.441e-02
DCXR,18985,xylulose metabolic process,GO:0005997,biological process,11,4,1.736e-01,1.098e-01,7.472e-02,6.364e-01,3.637e-02,1.517e-01,1.986e-01,7.069e-02,1.706e-01,4.235e-02,1.318e-01
DCXR,18985,extracellular exosome,GO:0070062,cellular component,11,26,1.749e-01,1.080e-01,7.863e-02,6.305e-01,7.497e-03,1.697e-01,1.802e-01,7.180e-02,1.626e-01,7.008e-02,8.821e-02
DCXR,18985,"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor",GO:0016655,molecular function,11,9,1.879e-01,1.098e-01,9.155e-02,6.050e-01,2.982e-02,1.652e-01,2.137e-01,7.069e-02,1.706e-01,5.913e-02,1.418e-01
DCXR,18985,protein binding,GO:0005515,molecular function,11,161,1.883e-01,1.137e-01,9.720e-02,5.963e-01,1.473e-02,1.762e-01,2.012e-01,7.544e-02,1.714e-01,7.842e-02,1.205e-01
DCXR,18985,cytoplasmic microtubule,GO:0005881,cellular component,11,5,1.890e-01,1.098e-01,9.125e-02,6.047e-01,3.620e-02,1.598e-01,2.236e-01,7.069e-02,1.706e-01,5.390e-02,1.545e-01
DCXR,18985,nucleus,GO:0005634,cellular component,11,26,2.052e-01,1.265e-01,1.156e-01,5.655e-01,3.885e-02,1.706e-01,2.468e-01,8.510e-02,1.881e-01,6.602e-02,2.026e-01
MZB1,30125,endoplasmic reticulum chaperone complex,GO:0034663,cellular component,4,2,4.651e-01,6.100e-01,4.364e-01,2.940e-01,1.792e-02,4.097e-01,5.280e-01,5.392e-01,6.901e-01,3.714e-01,5.127e-01
MZB1,30125,protein binding,GO:0005515,molecular function,4,161,4.856e-01,6.100e-01,4.596e-01,2.809e-01,6.078e-03,4.612e-01,5.114e-01,5.392e-01,6.901e-01,4.355e-01,4.851e-01
MZB1,30125,regulation of B cell proliferation,GO:0030888,biological process,4,5,5.669e-01,6.100e-01,5.468e-01,2.249e-01,3.982e-02,4.255e-01,7.552e-01,5.392e-01,6.901e-01,3.972e-01,7.528e-01
MZB1,30125,extracellular region,GO:0005576,cellular component,4,11,5.783e-01,6.100e-01,5.600e-01,2.201e-01,2.921e-02,4.796e-01,6.973e-01,5.392e-01,6.901e-01,4.498e-01,6.972e-01
GPX3,4555,glutathione peroxidase activity,GO:0004602,molecular function,9,2,1.588e-01,2.943e-02,4.635e-03,9.428e-01,8.838e-03,1.483e-01,1.701e-01,2.518e-02,3.440e-02,2.559e-03,8.394e-03
GPX3,4555,identical protein binding,GO:0042802,molecular function,9,11,1.588e-01,3.663e-02,9.492e-03,9.086e-01,1.565e-02,1.483e-01,1.701e-01,3.339e-02,4.017e-02,5.221e-03,1.726e-02
GPX3,4555,hydrogen peroxide catabolic process,GO:0042744,biological process,9,4,1.588e-01,4.566e-02,2.199e-02,8.238e-01,9.977e-03,1.483e-01,1.701e-01,3.658e-02,5.698e-02,1.902e-02,2.541e-02
GPX3,4555,peroxidase activity,GO:0004601,molecular function,9,19,1.588e-01,4.566e-02,2.243e-02,8.204e-01,1.790e-02,1.483e-01,1.701e-01,3.658e-02,5.698e-02,1.705e-02,2.950e-02
GPX3,4555,extracellular exosome,GO:0070062,cellular component,9,26,1.588e-01,4.861e-02,3.612e-02,7.467e-01,1.768e-02,1.483e-01,1.701e-01,3.987e-02,5.927e-02,2.711e-02,4.812e-02
GPX3,4555,extracellular space,GO:0005615,cellular component,9,21,1.592e-01,5.049e-02,4.128e-02,7.271e-01,9.278e-03,1.489e-01,1.702e-01,4.071e-02,6.262e-02,3.550e-02,4.799e-02
GPX3,4555,selenium binding,GO:0008430,molecular function,9,2,1.599e-01,4.942e-02,3.649e-02,7.467e-01,3.355e-02,1.499e-01,1.705e-01,3.656e-02,6.681e-02,2.136e-02,6.235e-02
GPX3,4555,protein binding,GO:0005515,molecular function,9,161,1.612e-01,5.462e-02,5.462e-02,6.866e-01,1.293e-02,1.516e-01,1.715e-01,4.404e-02,6.774e-02,4.404e-02,6.774e-02
LRP3,6695,negative regulation of gene expression,GO:0010629,biological process,4,18,2.978e-01,3.863e-01,2.438e-01,4.290e-01,2.477e-02,2.444e-01,3.629e-01,2.544e-01,5.866e-01,1.843e-01,3.226e-01
LRP3,6695,negative regulation of fat cell differentiation,GO:0045599,biological process,4,4,3.519e-01,3.994e-01,2.923e-01,3.732e-01,8.346e-02,1.881e-01,6.584e-01,2.465e-01,6.471e-01,1.298e-01,6.581e-01
LRP3,6695,positive regulation of gene expression,GO:0010628,biological process,4,15,3.585e-01,4.287e-01,3.107e-01,3.758e-01,2.908e-02,2.836e-01,4.532e-01,3.033e-01,6.058e-01,2.296e-01,4.203e-01
LRP3,6695,positive regulation of osteoblast differentiation,GO:0045669,biological process,4,3,3.592e-01,3.994e-01,3.087e-01,3.707e-01,5.756e-02,2.322e-01,5.558e-01,2.465e-01,6.471e-01,1.758e-01,5.423e-01
CHIT1,1936,endochitinase activity,GO:0008843,molecular function,6,2,1.588e-01,9.534e-02,1.991e-02,8.397e-01,9.866e-03,1.483e-01,1.701e-01,7.374e-02,1.233e-01,1.705e-02,2.324e-02
CHIT1,1936,chitinase activity,GO:0004568,molecular function,6,5,1.592e-01,9.534e-02,4.313e-02,7.209e-01,1.985e-02,1.479e-01,1.713e-01,7.374e-02,1.233e-01,3.102e-02,5.997e-02
CHIT1,1936,chitin binding,GO:0008061,molecular function,6,3,1.592e-01,9.534e-02,4.067e-02,7.300e-01,2.509e-02,1.489e-01,1.703e-01,7.374e-02,1.233e-01,2.720e-02,6.082e-02
CHIT1,1936,extracellular space,GO:0005615,cellular component,6,21,2.413e-01,2.047e-01,1.651e-01,5.015e-01,4.316e-02,1.787e-01,3.257e-01,1.487e-01,2.818e-01,9.549e-02,2.856e-01
CHIT1,1936,chitin catabolic process,GO:0006032,biological process,6,7,2.478e-01,2.110e-01,1.843e-01,4.857e-01,2.692e-03,2.419e-01,2.538e-01,1.673e-01,2.660e-01,1.780e-01,1.908e-01
CHIT1,1936,extracellular region,GO:0005576,cellular component,6,11,2.585e-01,2.076e-01,1.942e-01,4.733e-01,3.060e-02,2.062e-01,3.241e-01,1.535e-01,2.806e-01,1.331e-01,2.832e-01
CHIA,17432,kinase binding,GO:0019900,molecular function,9,4,1.703e-01,2.961e-01,5.711e-02,6.772e-01,4.041e-02,1.504e-01,1.928e-01,1.638e-01,5.355e-01,3.038e-02,1.074e-01
CHIA,17432,chitin binding,GO:0008061,molecular function,9,3,1.744e-01,2.961e-01,6.576e-02,6.552e-01,4.961e-02,1.496e-01,2.035e-01,1.638e-01,5.355e-01,3.028e-02,1.428e-01
CHIA,17432,chitinase activity,GO:0004568,molecular function,9,5,2.038e-01,3.153e-01,1.107e-01,5.720e-01,4.557e-02,1.690e-01,2.458e-01,1.687e-01,5.891e-01,5.669e-02,2.162e-01
CHIA,17432,protein binding,GO:0005515,molecular function,9,161,2.534e-01,3.254e-01,1.683e-01,4.957e-01,5.546e-02,1.807e-01,3.552e-01,1.851e-01,5.721e-01,8.060e-02,3.513e-01
CHIA,17432,extracellular space,GO:0005615,cellular component,9,21,3.127e-01,3.509e-01,2.472e-01,4.195e-01,5.572e-02,2.088e-01,4.684e-01,2.307e-01,5.337e-01,1.276e-01,4.788e-01
CHIA,17432,extracellular region,GO:0005576,cellular component,9,11,3.172e-01,3.632e-01,2.589e-01,4.145e-01,3.463e-02,2.468e-01,4.077e-01,2.549e-01,5.175e-01,1.725e-01,3.886e-01
CHIA,17432,chitin catabolic process,GO:0006032,biological process,9,7,3.626e-01,3.886e-01,3.124e-01,3.690e-01,5.432e-02,2.376e-01,5.534e-01,2.684e-01,5.628e-01,1.825e-01,5.347e-01
CHIA,17432,production of molecular mediator involved in inflammatory response,GO:0002532,biological process,9,10,4.035e-01,3.962e-01,3.616e-01,3.386e-01,3.701e-02,3.035e-01,5.364e-01,2.829e-01,5.550e-01,2.513e-01,5.204e-01
CHIA,17432,positive regulation of chemokine production,GO:0032722,biological process,9,16,4.699e-01,4.873e-01,4.380e-01,2.883e-01,4.269e-02,3.375e-01,6.544e-01,3.976e-01,5.974e-01,2.932e-01,6.542e-01
DDX18,2741,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",GO:0000463,biological process,7,2,1.641e-01,1.837e-01,4.568e-02,7.125e-01,1.681e-02,1.542e-01,1.746e-01,1.215e-01,2.778e-01,3.454e-02,6.040e-02
DDX18,2741,nucleolus,GO:0005730,cellular component,7,5,1.843e-01,1.938e-01,8.065e-02,6.211e-01,5.942e-02,1.353e-01,2.510e-01,1.168e-01,3.214e-01,3.351e-02,1.941e-01
DDX18,2741,chromosome,GO:0005694,cellular component,7,8,2.182e-01,2.029e-01,1.294e-01,5.449e-01,4.868e-02,1.711e-01,2.783e-01,1.224e-01,3.365e-01,6.437e-02,2.600e-01
DDX18,2741,membrane,GO:0016020,cellular component,7,33,2.483e-01,2.402e-01,1.853e-01,4.844e-01,9.783e-03,2.276e-01,2.708e-01,1.872e-01,3.082e-01,1.636e-01,2.100e-01
DDX18,2741,protein binding,GO:0005515,molecular function,7,161,2.506e-01,2.425e-01,1.682e-01,4.922e-01,6.738e-02,1.530e-01,4.103e-01,1.564e-01,3.761e-01,7.378e-02,3.833e-01
DDX18,2741,RNA binding,GO:0003723,molecular function,7,39,3.187e-01,2.822e-01,2.656e-01,4.109e-01,2.509e-02,2.613e-01,3.888e-01,2.109e-01,3.777e-01,2.011e-01,3.506e-01
TBX15,11594,"DNA-binding transcription factor activity, RNA polymerase II-specific",GO:0000981,molecular function,6,7,1.588e-01,4.657e-02,1.775e-02,8.559e-01,1.120e-02,1.483e-01,1.701e-01,3.680e-02,5.894e-02,1.445e-02,2.180e-02
TBX15,11594,sequence-specific double-stranded DNA binding,GO:1990837,molecular function,6,14,1.588e-01,4.657e-02,2.141e-02,8.279e-01,2.036e-02,1.483e-01,1.701e-01,3.680e-02,5.894e-02,1.572e-02,2.917e-02
TBX15,11594,regulation of transcription by RNA polymerase II,GO:0006357,biological process,6,30,1.588e-01,4.657e-02,2.303e-02,8.174e-01,2.222e-02,1.483e-01,1.701e-01,3.680e-02,5.894e-02,1.649e-02,3.216e-02
TBX15,11594,RNA polymerase II cis-regulatory region sequence-specific DNA binding,GO:0000978,molecular function,6,17,1.696e-01,6.896e-02,4.597e-02,7.104e-01,3.645e-02,1.526e-01,1.885e-01,3.843e-02,1.237e-01,2.562e-02,8.249e-02
TBX15,11594,protein binding,GO:0005515,molecular function,6,161,2.003e-01,1.440e-01,1.200e-01,5.615e-01,6.743e-03,1.911e-01,2.099e-01,1.308e-01,1.586e-01,1.090e-01,1.321e-01
TBX15,11594,cell fate specification,GO:0001708,biological process,6,24,3.459e-01,3.003e-01,3.003e-01,3.845e-01,1.971e-02,2.952e-01,4.054e-01,2.434e-01,3.707e-01,2.434e-01,3.707e-01
MYO6,7605,endocytic vesicle,GO:0030139,cellular component,30,6,1.588e-01,1.962e-01,1.945e-02,8.429e-01,1.052e-02,1.483e-01,1.701e-01,1.517e-01,2.537e-01,1.660e-02,2.278e-02
MYO6,7605,microvillus,GO:0005902,cellular component,30,5,1.588e-01,1.962e-01,3.372e-02,7.576e-01,2.308e-02,1.483e-01,1.701e-01,1.517e-01,2.537e-01,2.341e-02,4.856e-02
MYO6,7605,Golgi apparatus,GO:0005794,cellular component,30,5,1.588e-01,1.962e-01,3.472e-02,7.525e-01,4.918e-03,1.483e-01,1.701e-01,1.517e-01,2.537e-01,3.211e-02,3.755e-02
MYO6,7605,clathrin-coated endocytic vesicle,GO:0045334,cellular component,30,4,1.588e-01,1.962e-01,3.804e-02,7.390e-01,5.598e-03,1.483e-01,1.701e-01,1.517e-01,2.537e-01,3.473e-02,4.166e-02
MYO6,7605,actin-dependent ATPase activity,GO:0030898,molecular function,30,2,1.624e-01,1.964e-01,4.557e-02,7.122e-01,2.915e-02,1.524e-01,1.732e-01,1.520e-01,2.538e-01,2.847e-02,7.294e-02
MYO6,7605,microfilament motor activity,GO:0000146,molecular function,30,4,1.646e-01,1.962e-01,5.299e-02,6.910e-01,1.476e-02,1.543e-01,1.755e-01,1.517e-01,2.537e-01,4.139e-02,6.783e-02
MYO6,7605,cytoplasmic vesicle,GO:0031410,cellular component,30,30,1.655e-01,1.964e-01,5.803e-02,6.778e-01,4.648e-03,1.578e-01,1.736e-01,1.520e-01,2.538e-01,5.393e-02,6.244e-02
MYO6,7605,"DNA damage response, signal transduction by p53 class mediator",GO:0030330,biological process,30,5,1.686e-01,1.964e-01,6.790e-02,6.534e-01,5.032e-03,1.579e-01,1.800e-01,1.520e-01,2.538e-01,6.291e-02,7.328e-02
MYO6,7605,actin cytoskeleton,GO:0015629,cellular component,30,4,1.694e-01,1.997e-01,5.489e-02,6.848e-01,3.223e-02,1.532e-01,1.874e-01,1.491e-01,2.674e-01,3.268e-02,9.219e-02
MYO6,7605,endocytosis,GO:0006897,biological process,30,10,1.710e-01,2.004e-01,6.225e-02,6.659e-01,2.375e-02,1.530e-01,1.912e-01,1.491e-01,2.694e-01,4.289e-02,9.035e-02
