"","GO_terms","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","dir","Day","slim_term","Gene_IDs"
"22","GO:0006589",0.00229904261251282,0.999870264452132,3,20,"octopamine biosynthetic process","BP","Up","Day14","cellular nitrogen compound metaboli...","PGEN_.00g059780;PGEN_.00g177840;PGEN_.00g211330;PGEN_.00g280310;PGEN_.00g281550"
"23","GO:0006625",0.0440627299352627,0.99557258779346,2,24,"protein targeting to peroxisome","BP","Up","Day14","protein transport","PGEN_.00g211250;PGEN_.00g267990;PGEN_.00g268270;PGEN_.00g328190"
"24","GO:0006625",0.0440627299352627,0.99557258779346,2,24,"protein targeting to peroxisome","BP","Up","Day14","protein targeting","PGEN_.00g267990;PGEN_.00g268270"
"25","GO:0006625",0.0440627299352627,0.99557258779346,2,24,"protein targeting to peroxisome","BP","Up","Day14","transport","PGEN_.00g013170;PGEN_.00g014740;PGEN_.00g019450;PGEN_.00g050040;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g091350;PGEN_.00g164540;PGEN_.00g164660;PGEN_.00g211250;PGEN_.00g251840;PGEN_.00g267990;PGEN_.00g268270;PGEN_.00g328190;PGEN_.00g348220;PGEN_.00g348570"
"26","GO:0006825",0.00685144624613982,0.999767612682043,2,10,"copper ion transport","BP","Up","Day14","transport","PGEN_.00g013170;PGEN_.00g014740;PGEN_.00g019450;PGEN_.00g050040;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g091350;PGEN_.00g164540;PGEN_.00g164660;PGEN_.00g211250;PGEN_.00g251840;PGEN_.00g267990;PGEN_.00g268270;PGEN_.00g328190;PGEN_.00g348220;PGEN_.00g348570"
"27","GO:0007009",0.0213266932760011,0.99713157557462,3,45,"plasma membrane organization","BP","Up","Day14","membrane organization","PGEN_.00g025030;PGEN_.00g038430;PGEN_.00g042190"
"28","GO:0007157",0.0230588226426473,0.994320335278737,5,117,"heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules","BP","Up","Day14","cell adhesion","PGEN_.00g005530;PGEN_.00g018570;PGEN_.00g025030;PGEN_.00g038430;PGEN_.00g042190;PGEN_.00g046020;PGEN_.00g116130;PGEN_.00g211890;PGEN_.00g332560"
"29","GO:0007160",0.00813402255280726,0.998831265183507,4,57,"cell-matrix adhesion","BP","Up","Day14","cell adhesion","PGEN_.00g005530;PGEN_.00g018570;PGEN_.00g025030;PGEN_.00g038430;PGEN_.00g042190;PGEN_.00g046020;PGEN_.00g116130;PGEN_.00g211890;PGEN_.00g332560"
"30","GO:0007596",0.0356818845356116,0.994104710470824,3,57,"blood coagulation","BP","Up","Day14","response to stress","PGEN_.00g033640;PGEN_.00g038400;PGEN_.00g057170;PGEN_.00g057190;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g091350;PGEN_.00g279590;PGEN_.00g313060;PGEN_.00g346230"
"31","GO:0007597",0.00178493815910737,0.99997577656587,2,5,"blood coagulation, intrinsic pathway","BP","Up","Day14","response to stress","PGEN_.00g033640;PGEN_.00g038400;PGEN_.00g057170;PGEN_.00g057190;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g091350;PGEN_.00g279590;PGEN_.00g313060;PGEN_.00g346230"
"32","GO:0010642",0.00655146341664254,0.99977916014094,2,11,"negative regulation of platelet-derived growth factor receptor signaling pathway","BP","Up","Day14","signal transduction","PGEN_.00g038430;PGEN_.00g042190;PGEN_.00g052550;PGEN_.00g052650;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g091350;PGEN_.00g152150;PGEN_.00g157360;PGEN_.00g211250;PGEN_.00g279590;PGEN_.00g328190;PGEN_.00g348850"
"33","GO:0010765",0.0280363493600926,0.997814653798088,2,21,"positive regulation of sodium ion transport","BP","Up","Day14","transport","PGEN_.00g013170;PGEN_.00g014740;PGEN_.00g019450;PGEN_.00g050040;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g091350;PGEN_.00g164540;PGEN_.00g164660;PGEN_.00g211250;PGEN_.00g251840;PGEN_.00g267990;PGEN_.00g268270;PGEN_.00g328190;PGEN_.00g348220;PGEN_.00g348570"
"34","GO:0010839",0.0326191008248739,0.994822381633331,3,49,"negative regulation of keratinocyte proliferation","BP","Up","Day14","cell population proliferation","PGEN_.00g038430;PGEN_.00g042190;PGEN_.00g052550;PGEN_.00g052650;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g091350;PGEN_.00g152150;PGEN_.00g279590;PGEN_.00g313060"
"35","GO:0015918",0.000312198489794182,0.999992087809387,3,11,"sterol transport","BP","Up","Day14","transport","PGEN_.00g013170;PGEN_.00g014740;PGEN_.00g019450;PGEN_.00g050040;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g091350;PGEN_.00g164540;PGEN_.00g164660;PGEN_.00g211250;PGEN_.00g251840;PGEN_.00g267990;PGEN_.00g268270;PGEN_.00g328190;PGEN_.00g348220;PGEN_.00g348570"
"36","GO:0022008",0.033684802721583,0.994557420108242,3,57,"neurogenesis","BP","Up","Day14","cell differentiation","PGEN_.00g026190;PGEN_.00g038430;PGEN_.00g042190;PGEN_.00g052550;PGEN_.00g052650;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g091350;PGEN_.00g092320;PGEN_.00g095390;PGEN_.00g116150;PGEN_.00g119470;PGEN_.00g122020;PGEN_.00g127990;PGEN_.00g152150;PGEN_.00g156260;PGEN_.00g199810;PGEN_.00g261960;PGEN_.00g327700"
"37","GO:0022008",0.033684802721583,0.994557420108242,3,57,"neurogenesis","BP","Up","Day14","anatomical structure development","PGEN_.00g005530;PGEN_.00g026190;PGEN_.00g038430;PGEN_.00g042190;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g091350;PGEN_.00g092320;PGEN_.00g095390;PGEN_.00g116150;PGEN_.00g119470;PGEN_.00g122020;PGEN_.00g127990;PGEN_.00g199810;PGEN_.00g261960;PGEN_.00g279590;PGEN_.00g318440;PGEN_.00g327700;PGEN_.00g346230"
"38","GO:0022617",0.0128755894747556,0.999367233290139,2,13,"extracellular matrix disassembly","BP","Up","Day14","extracellular matrix organization","PGEN_.00g033640;PGEN_.00g057190"
"39","GO:0030245",0.00297022722759362,0.999943120103614,2,6,"cellulose catabolic process","BP","Up","Day14","carbohydrate metabolic process","PGEN_.00g057120;PGEN_.00g057130;PGEN_.00g169480;PGEN_.00g211250;PGEN_.00g323450;PGEN_.00g326620;PGEN_.00g328190"
"40","GO:0030245",0.00297022722759362,0.999943120103614,2,6,"cellulose catabolic process","BP","Up","Day14","catabolic process","PGEN_.00g057120;PGEN_.00g057130;PGEN_.00g169480;PGEN_.00g211330;PGEN_.00g267990;PGEN_.00g268270;PGEN_.00g280310;PGEN_.00g281550;PGEN_.00g285590;PGEN_.00g298200;PGEN_.00g323450;PGEN_.00g326620;PGEN_.00g345680"
"41","GO:0030512",0.0450407940842755,0.991817243028861,3,65,"negative regulation of transforming growth factor beta receptor signaling pathway","BP","Up","Day14","signal transduction","PGEN_.00g038430;PGEN_.00g042190;PGEN_.00g052550;PGEN_.00g052650;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g091350;PGEN_.00g152150;PGEN_.00g157360;PGEN_.00g211250;PGEN_.00g279590;PGEN_.00g328190;PGEN_.00g348850"
"42","GO:0031638",0.00647549093984895,0.999455599766478,3,27,"zymogen activation","BP","Up","Day14","protein maturation","PGEN_.00g033640;PGEN_.00g057170;PGEN_.00g057190;PGEN_.00g344990"
"43","GO:0031639",0.000229263657198015,0.999995085348668,3,9,"plasminogen activation","BP","Up","Day14","protein maturation","PGEN_.00g033640;PGEN_.00g057170;PGEN_.00g057190;PGEN_.00g344990"
"44","GO:0032367",0.000934656825116186,0.99996304807621,3,15,"intracellular cholesterol transport","BP","Up","Day14","transport","PGEN_.00g013170;PGEN_.00g014740;PGEN_.00g019450;PGEN_.00g050040;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g091350;PGEN_.00g164540;PGEN_.00g164660;PGEN_.00g211250;PGEN_.00g251840;PGEN_.00g267990;PGEN_.00g268270;PGEN_.00g328190;PGEN_.00g348220;PGEN_.00g348570"
"45","GO:0033344",0.00122499548110486,0.999946220124187,3,16,"cholesterol efflux","BP","Up","Day14","transport","PGEN_.00g013170;PGEN_.00g014740;PGEN_.00g019450;PGEN_.00g050040;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g091350;PGEN_.00g164540;PGEN_.00g164660;PGEN_.00g211250;PGEN_.00g251840;PGEN_.00g267990;PGEN_.00g268270;PGEN_.00g328190;PGEN_.00g348220;PGEN_.00g348570"
"46","GO:0035329",0.0359785579234778,0.996804123901751,2,20,"hippo signaling","BP","Up","Day14","signal transduction","PGEN_.00g038430;PGEN_.00g042190;PGEN_.00g052550;PGEN_.00g052650;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g091350;PGEN_.00g152150;PGEN_.00g157360;PGEN_.00g211250;PGEN_.00g279590;PGEN_.00g328190;PGEN_.00g348850"
"47","GO:0035356",0.0164214487877571,0.99902743237533,2,24,"cellular triglyceride homeostasis","BP","Up","Day14","homeostatic process","PGEN_.00g211250;PGEN_.00g328190"
"48","GO:0035987",1.90096513198486e-06,0.999999951270273,5,17,"endodermal cell differentiation","BP","Up","Day14","anatomical structure formation invo...","PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g091350;PGEN_.00g116150;PGEN_.00g122020;PGEN_.00g127990;PGEN_.00g261960;PGEN_.00g327700"
"49","GO:0035987",1.90096513198486e-06,0.999999951270273,5,17,"endodermal cell differentiation","BP","Up","Day14","cell differentiation","PGEN_.00g026190;PGEN_.00g038430;PGEN_.00g042190;PGEN_.00g052550;PGEN_.00g052650;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g091350;PGEN_.00g092320;PGEN_.00g095390;PGEN_.00g116150;PGEN_.00g119470;PGEN_.00g122020;PGEN_.00g127990;PGEN_.00g152150;PGEN_.00g156260;PGEN_.00g199810;PGEN_.00g261960;PGEN_.00g327700"
"50","GO:0035987",1.90096513198486e-06,0.999999951270273,5,17,"endodermal cell differentiation","BP","Up","Day14","anatomical structure development","PGEN_.00g005530;PGEN_.00g026190;PGEN_.00g038430;PGEN_.00g042190;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g091350;PGEN_.00g092320;PGEN_.00g095390;PGEN_.00g116150;PGEN_.00g119470;PGEN_.00g122020;PGEN_.00g127990;PGEN_.00g199810;PGEN_.00g261960;PGEN_.00g279590;PGEN_.00g318440;PGEN_.00g327700;PGEN_.00g346230"
"51","GO:0035987",1.90096513198486e-06,0.999999951270273,5,17,"endodermal cell differentiation","BP","Up","Day14","embryo development","PGEN_.00g116150;PGEN_.00g122020;PGEN_.00g127990;PGEN_.00g261960;PGEN_.00g327700"
"52","GO:0042026",0.012294998843843,0.999410206918428,2,13,"protein refolding","BP","Up","Day14","protein folding","PGEN_.00g183520;PGEN_.00g255870"
"53","GO:0042246",0.033149437265226,0.997125582383196,2,27,"tissue regeneration","BP","Up","Day14","anatomical structure development","PGEN_.00g005530;PGEN_.00g026190;PGEN_.00g038430;PGEN_.00g042190;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g091350;PGEN_.00g092320;PGEN_.00g095390;PGEN_.00g116150;PGEN_.00g119470;PGEN_.00g122020;PGEN_.00g127990;PGEN_.00g199810;PGEN_.00g261960;PGEN_.00g279590;PGEN_.00g318440;PGEN_.00g327700;PGEN_.00g346230"
"54","GO:0042246",0.033149437265226,0.997125582383196,2,27,"tissue regeneration","BP","Up","Day14","growth","PGEN_.00g116150;PGEN_.00g119470;PGEN_.00g122020;PGEN_.00g127990;PGEN_.00g261960;PGEN_.00g279590;PGEN_.00g346230"
"55","GO:0042246",0.033149437265226,0.997125582383196,2,27,"tissue regeneration","BP","Up","Day14","response to stress","PGEN_.00g033640;PGEN_.00g038400;PGEN_.00g057170;PGEN_.00g057190;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g091350;PGEN_.00g279590;PGEN_.00g313060;PGEN_.00g346230"
"56","GO:0042420",0.00450387274598498,0.999667715868645,3,27,"dopamine catabolic process","BP","Up","Day14","catabolic process","PGEN_.00g057120;PGEN_.00g057130;PGEN_.00g169480;PGEN_.00g211330;PGEN_.00g267990;PGEN_.00g268270;PGEN_.00g280310;PGEN_.00g281550;PGEN_.00g285590;PGEN_.00g298200;PGEN_.00g323450;PGEN_.00g326620;PGEN_.00g345680"
"57","GO:0042421",0.00304506316979725,0.999809148273277,3,21,"norepinephrine biosynthetic process","BP","Up","Day14","biosynthetic process","PGEN_.00g211250;PGEN_.00g211330;PGEN_.00g280310;PGEN_.00g281550;PGEN_.00g328190"
"58","GO:0042730",0.00033272273334522,0.99998137419201,4,24,"fibrinolysis","BP","Up","Day14","response to stress","PGEN_.00g033640;PGEN_.00g038400;PGEN_.00g057170;PGEN_.00g057190;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g091350;PGEN_.00g279590;PGEN_.00g313060;PGEN_.00g346230"
"59","GO:0043931",0.016312248084716,0.99909205976849,2,13,"ossification involved in bone maturation","BP","Up","Day14","developmental maturation","PGEN_.00g005530;PGEN_.00g038430;PGEN_.00g042190;PGEN_.00g318440"
"60","GO:0043931",0.016312248084716,0.99909205976849,2,13,"ossification involved in bone maturation","BP","Up","Day14","anatomical structure development","PGEN_.00g005530;PGEN_.00g026190;PGEN_.00g038430;PGEN_.00g042190;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g091350;PGEN_.00g092320;PGEN_.00g095390;PGEN_.00g116150;PGEN_.00g119470;PGEN_.00g122020;PGEN_.00g127990;PGEN_.00g199810;PGEN_.00g261960;PGEN_.00g279590;PGEN_.00g318440;PGEN_.00g327700;PGEN_.00g346230"
"61","GO:0045599",0.00167600336907104,0.999846435398006,4,48,"negative regulation of fat cell differentiation","BP","Up","Day14","cell differentiation","PGEN_.00g026190;PGEN_.00g038430;PGEN_.00g042190;PGEN_.00g052550;PGEN_.00g052650;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g091350;PGEN_.00g092320;PGEN_.00g095390;PGEN_.00g116150;PGEN_.00g119470;PGEN_.00g122020;PGEN_.00g127990;PGEN_.00g152150;PGEN_.00g156260;PGEN_.00g199810;PGEN_.00g261960;PGEN_.00g327700"
"62","GO:0045616",0.00906325986826651,0.999130285594959,3,31,"regulation of keratinocyte differentiation","BP","Up","Day14","anatomical structure development","PGEN_.00g005530;PGEN_.00g026190;PGEN_.00g038430;PGEN_.00g042190;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g091350;PGEN_.00g092320;PGEN_.00g095390;PGEN_.00g116150;PGEN_.00g119470;PGEN_.00g122020;PGEN_.00g127990;PGEN_.00g199810;PGEN_.00g261960;PGEN_.00g279590;PGEN_.00g318440;PGEN_.00g327700;PGEN_.00g346230"
"63","GO:0045616",0.00906325986826651,0.999130285594959,3,31,"regulation of keratinocyte differentiation","BP","Up","Day14","cell differentiation","PGEN_.00g026190;PGEN_.00g038430;PGEN_.00g042190;PGEN_.00g052550;PGEN_.00g052650;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g091350;PGEN_.00g092320;PGEN_.00g095390;PGEN_.00g116150;PGEN_.00g119470;PGEN_.00g122020;PGEN_.00g127990;PGEN_.00g152150;PGEN_.00g156260;PGEN_.00g199810;PGEN_.00g261960;PGEN_.00g327700"
"64","GO:0045721",0.0450970078506053,0.995325373219518,2,34,"negative regulation of gluconeogenesis","BP","Up","Day14","carbohydrate metabolic process","PGEN_.00g057120;PGEN_.00g057130;PGEN_.00g169480;PGEN_.00g211250;PGEN_.00g323450;PGEN_.00g326620;PGEN_.00g328190"
"65","GO:0045721",0.0450970078506053,0.995325373219518,2,34,"negative regulation of gluconeogenesis","BP","Up","Day14","small molecule metabolic process","PGEN_.00g211250;PGEN_.00g211330;PGEN_.00g267990;PGEN_.00g268270;PGEN_.00g280310;PGEN_.00g281550;PGEN_.00g328190"
"66","GO:0045721",0.0450970078506053,0.995325373219518,2,34,"negative regulation of gluconeogenesis","BP","Up","Day14","biosynthetic process","PGEN_.00g211250;PGEN_.00g211330;PGEN_.00g280310;PGEN_.00g281550;PGEN_.00g328190"
"67","GO:0046718",0.0140145899396182,0.999261878366086,2,16,"viral entry into host cell","BP","Up","Day14","symbiotic process","PGEN_.00g298200;PGEN_.00g345610"
"68","GO:0048147",0.00791226965163342,0.999264731943947,3,42,"negative regulation of fibroblast proliferation","BP","Up","Day14","cell population proliferation","PGEN_.00g038430;PGEN_.00g042190;PGEN_.00g052550;PGEN_.00g052650;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g091350;PGEN_.00g152150;PGEN_.00g279590;PGEN_.00g313060"
"69","GO:0048565",0.0383299163432739,0.996404819299314,2,27,"digestive tract development","BP","Up","Day14","anatomical structure development","PGEN_.00g005530;PGEN_.00g026190;PGEN_.00g038430;PGEN_.00g042190;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g091350;PGEN_.00g092320;PGEN_.00g095390;PGEN_.00g116150;PGEN_.00g119470;PGEN_.00g122020;PGEN_.00g127990;PGEN_.00g199810;PGEN_.00g261960;PGEN_.00g279590;PGEN_.00g318440;PGEN_.00g327700;PGEN_.00g346230"
"70","GO:0048662",0.0363261561253599,0.996705466178689,2,25,"negative regulation of smooth muscle cell proliferation","BP","Up","Day14","cell population proliferation","PGEN_.00g038430;PGEN_.00g042190;PGEN_.00g052550;PGEN_.00g052650;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g091350;PGEN_.00g152150;PGEN_.00g279590;PGEN_.00g313060"
"71","GO:0050715",0.0199450964863232,0.998681507085246,2,27,"positive regulation of cytokine secretion","BP","Up","Day14","transport","PGEN_.00g013170;PGEN_.00g014740;PGEN_.00g019450;PGEN_.00g050040;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g091350;PGEN_.00g164540;PGEN_.00g164660;PGEN_.00g211250;PGEN_.00g251840;PGEN_.00g267990;PGEN_.00g268270;PGEN_.00g328190;PGEN_.00g348220;PGEN_.00g348570"
"72","GO:0050715",0.0199450964863232,0.998681507085246,2,27,"positive regulation of cytokine secretion","BP","Up","Day14","cell-cell signaling","PGEN_.00g211250;PGEN_.00g328190"
"73","GO:0050715",0.0199450964863232,0.998681507085246,2,27,"positive regulation of cytokine secretion","BP","Up","Day14","protein transport","PGEN_.00g211250;PGEN_.00g267990;PGEN_.00g268270;PGEN_.00g328190"
"74","GO:0051603",0.0215860411420611,0.997092372435179,3,42,"proteolysis involved in cellular protein catabolic process","BP","Up","Day14","catabolic process","PGEN_.00g057120;PGEN_.00g057130;PGEN_.00g169480;PGEN_.00g211330;PGEN_.00g267990;PGEN_.00g268270;PGEN_.00g280310;PGEN_.00g281550;PGEN_.00g285590;PGEN_.00g298200;PGEN_.00g323450;PGEN_.00g326620;PGEN_.00g345680"
"75","GO:0051919",0.00032555430249965,0.999991850772949,3,10,"positive regulation of fibrinolysis","BP","Up","Day14","response to stress","PGEN_.00g033640;PGEN_.00g038400;PGEN_.00g057170;PGEN_.00g057190;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g091350;PGEN_.00g279590;PGEN_.00g313060;PGEN_.00g346230"
"76","GO:0060074",0.00173251922230589,0.999976842877308,2,5,"synapse maturation","BP","Up","Day14","developmental maturation","PGEN_.00g005530;PGEN_.00g038430;PGEN_.00g042190;PGEN_.00g318440"
"77","GO:0060074",0.00173251922230589,0.999976842877308,2,5,"synapse maturation","BP","Up","Day14","anatomical structure development","PGEN_.00g005530;PGEN_.00g026190;PGEN_.00g038430;PGEN_.00g042190;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g091350;PGEN_.00g092320;PGEN_.00g095390;PGEN_.00g116150;PGEN_.00g119470;PGEN_.00g122020;PGEN_.00g127990;PGEN_.00g199810;PGEN_.00g261960;PGEN_.00g279590;PGEN_.00g318440;PGEN_.00g327700;PGEN_.00g346230"
"78","GO:0060074",0.00173251922230589,0.999976842877308,2,5,"synapse maturation","BP","Up","Day14","cell junction organization","PGEN_.00g005530;PGEN_.00g318440"
