"","GO_terms","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","dir","effect","slim_term","Gene_IDs"
"23","GO:0042246",0.00303554273250275,0.999925252880698,2,27,"tissue regeneration","BP","Down","secondAvM","anatomical structure development","PGEN_.00g021440;PGEN_.00g085780;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g095380;PGEN_.00g119470;PGEN_.00g127990;PGEN_.00g279590;PGEN_.00g346230"
"24","GO:0042246",0.00303554273250275,0.999925252880698,2,27,"tissue regeneration","BP","Down","secondAvM","growth","PGEN_.00g119470;PGEN_.00g127990;PGEN_.00g279590;PGEN_.00g346230"
"25","GO:0042246",0.00303554273250275,0.999925252880698,2,27,"tissue regeneration","BP","Down","secondAvM","response to stress","PGEN_.00g033640;PGEN_.00g057170;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g199810;PGEN_.00g274880;PGEN_.00g274890;PGEN_.00g279590;PGEN_.00g346230"
"26","GO:0042420",0.00406716929963371,0.999883675432683,2,27,"dopamine catabolic process","BP","Down","secondAvM","catabolic process","PGEN_.00g006380;PGEN_.00g211330;PGEN_.00g263770;PGEN_.00g285590;PGEN_.00g345680"
"27","GO:0042421",0.00323492577818258,0.999919118115592,2,21,"norepinephrine biosynthetic process","BP","Down","secondAvM","biosynthetic process","PGEN_.00g211330;PGEN_.00g263770"
"28","GO:0042730",0.00408066432125348,0.999883961040441,2,24,"fibrinolysis","BP","Down","secondAvM","response to stress","PGEN_.00g033640;PGEN_.00g057170;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g199810;PGEN_.00g274880;PGEN_.00g274890;PGEN_.00g279590;PGEN_.00g346230"
"29","GO:0043152",0.00267305069475247,0.999939612445343,2,20,"induction of bacterial agglutination","BP","Down","secondAvM","response to stress","PGEN_.00g033640;PGEN_.00g057170;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g199810;PGEN_.00g274880;PGEN_.00g274890;PGEN_.00g279590;PGEN_.00g346230"
"30","GO:0043152",0.00267305069475247,0.999939612445343,2,20,"induction of bacterial agglutination","BP","Down","secondAvM","immune system process","PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g169480;PGEN_.00g274880;PGEN_.00g274890;PGEN_.00g344510;PGEN_.00g348850"
"31","GO:0043312",0.0359169550073166,0.996665668655636,2,78,"neutrophil degranulation","BP","Down","secondAvM","transport","PGEN_.00g009930;PGEN_.00g022820;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g169480;PGEN_.00g348850"
"32","GO:0043312",0.0359169550073166,0.996665668655636,2,78,"neutrophil degranulation","BP","Down","secondAvM","vesicle-mediated transport","PGEN_.00g009930;PGEN_.00g022820;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g169480;PGEN_.00g348850"
"33","GO:0043312",0.0359169550073166,0.996665668655636,2,78,"neutrophil degranulation","BP","Down","secondAvM","immune system process","PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g169480;PGEN_.00g274880;PGEN_.00g274890;PGEN_.00g344510;PGEN_.00g348850"
"34","GO:0045616",0.000296441654720692,0.999991575613283,3,31,"regulation of keratinocyte differentiation","BP","Down","secondAvM","anatomical structure development","PGEN_.00g021440;PGEN_.00g085780;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g095380;PGEN_.00g119470;PGEN_.00g127990;PGEN_.00g279590;PGEN_.00g346230"
"35","GO:0045616",0.000296441654720692,0.999991575613283,3,31,"regulation of keratinocyte differentiation","BP","Down","secondAvM","cell differentiation","PGEN_.00g021440;PGEN_.00g085780;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g095380;PGEN_.00g119470;PGEN_.00g127990"
"36","GO:0048678",0.0083945765013953,0.999644566057522,2,40,"response to axon injury","BP","Down","secondAvM","response to stress","PGEN_.00g033640;PGEN_.00g057170;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g199810;PGEN_.00g274880;PGEN_.00g274890;PGEN_.00g279590;PGEN_.00g346230"
"37","GO:0050829",0.0176321408468903,0.998889080696325,2,54,"defense response to Gram-negative bacterium","BP","Down","secondAvM","response to stress","PGEN_.00g033640;PGEN_.00g057170;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g199810;PGEN_.00g274880;PGEN_.00g274890;PGEN_.00g279590;PGEN_.00g346230"
"38","GO:0051603",0.0006249075076588,0.999976627320495,3,42,"proteolysis involved in cellular protein catabolic process","BP","Down","secondAvM","catabolic process","PGEN_.00g006380;PGEN_.00g211330;PGEN_.00g263770;PGEN_.00g285590;PGEN_.00g345680"
"39","GO:0051919",0.000687744832834632,0.999992869781378,2,10,"positive regulation of fibrinolysis","BP","Down","secondAvM","response to stress","PGEN_.00g033640;PGEN_.00g057170;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g199810;PGEN_.00g274880;PGEN_.00g274890;PGEN_.00g279590;PGEN_.00g346230"
"40","GO:0061045",0.00747653991522563,0.999705707270981,2,30,"negative regulation of wound healing","BP","Down","secondAvM","response to stress","PGEN_.00g033640;PGEN_.00g057170;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g199810;PGEN_.00g274880;PGEN_.00g274890;PGEN_.00g279590;PGEN_.00g346230"
"41","GO:0072675",0.00596576318147863,0.999792237370446,2,27,"osteoclast fusion","BP","Down","secondAvM","anatomical structure development","PGEN_.00g021440;PGEN_.00g085780;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g095380;PGEN_.00g119470;PGEN_.00g127990;PGEN_.00g279590;PGEN_.00g346230"
"42","GO:0072675",0.00596576318147863,0.999792237370446,2,27,"osteoclast fusion","BP","Down","secondAvM","cell differentiation","PGEN_.00g021440;PGEN_.00g085780;PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g095380;PGEN_.00g119470;PGEN_.00g127990"
"43","GO:0072675",0.00596576318147863,0.999792237370446,2,27,"osteoclast fusion","BP","Down","secondAvM","immune system process","PGEN_.00g086610;PGEN_.00g086660;PGEN_.00g169480;PGEN_.00g274880;PGEN_.00g274890;PGEN_.00g344510;PGEN_.00g348850"
"44","GO:0072675",0.00596576318147863,0.999792237370446,2,27,"osteoclast fusion","BP","Down","secondAvM","anatomical structure formation invo...","PGEN_.00g086610;PGEN_.00g086660"
